team,city,habitual_m,venue_m,log_tilt
Belgium,Vancouver,28,70,-0.0056
Belgium,Arlington,28,184,-0.0209
Belgium,Guadalupe,28,497,-0.0628
Belgium,Seattle,28,56,-0.0038
Belgium,Atlanta,28,320,-0.0391
Belgium,Kansas City,28,274,-0.033
Egypt,Mexico City,23,2240,-0.2971
Egypt,Zapopan,23,1565,-0.2066
Egypt,Toronto,23,161,-0.0185
Egypt,Inglewood,23,40,-0.0023
Egypt,Santa Clara,23,132,-0.0146
Egypt,East Rutherford,23,24,-0.0001
Egypt,Foxborough,23,88,-0.0087
Egypt,Vancouver,23,70,-0.0063
Egypt,Arlington,23,184,-0.0216
Egypt,Guadalupe,23,497,-0.0635
Egypt,Seattle,23,56,-0.0044
Egypt,Atlanta,23,320,-0.0398
Egypt,Kansas City,23,274,-0.0336
Iran,Mexico City,1178,2240,-0.1423
Iran,Zapopan,1178,1565,-0.0519
New Zealand,Mexico City,43,2240,-0.2944
New Zealand,Zapopan,43,1565,-0.2039
New Zealand,Toronto,43,161,-0.0158
New Zealand,Santa Clara,43,132,-0.0119
New Zealand,Foxborough,43,88,-0.006
New Zealand,Vancouver,43,70,-0.0036
New Zealand,Arlington,43,184,-0.0189
New Zealand,Guadalupe,43,497,-0.0608
New Zealand,Seattle,43,56,-0.0017
New Zealand,Atlanta,43,320,-0.0371
New Zealand,Kansas City,43,274,-0.031
Cape Verde,Mexico City,30,2240,-0.2961
Cape Verde,Zapopan,30,1565,-0.2057
Cape Verde,Toronto,30,161,-0.0176
Cape Verde,Inglewood,30,40,-0.0013
Cape Verde,Santa Clara,30,132,-0.0137
Cape Verde,Foxborough,30,88,-0.0078
Cape Verde,Vancouver,30,70,-0.0054
Cape Verde,Arlington,30,184,-0.0206
Cape Verde,Guadalupe,30,497,-0.0626
Cape Verde,Seattle,30,56,-0.0035
Cape Verde,Atlanta,30,320,-0.0389
Cape Verde,Kansas City,30,274,-0.0327
Saudi Arabia,Mexico City,612,2240,-0.2182
Saudi Arabia,Zapopan,612,1565,-0.1277
Spain,Mexico City,667,2240,-0.2108
Spain,Zapopan,667,1565,-0.1203
Uruguay,Mexico City,34,2240,-0.2956
Uruguay,Zapopan,34,1565,-0.2052
Uruguay,Toronto,34,161,-0.017
Uruguay,Inglewood,34,40,-0.0008
Uruguay,Santa Clara,34,132,-0.0131
Uruguay,Foxborough,34,88,-0.0072
Uruguay,Vancouver,34,70,-0.0048
Uruguay,Arlington,34,184,-0.0201
Uruguay,Guadalupe,34,497,-0.062
Uruguay,Seattle,34,56,-0.0029
Uruguay,Atlanta,34,320,-0.0383
Uruguay,Kansas City,34,274,-0.0322
France,Mexico City,42,2240,-0.2945
France,Zapopan,42,1565,-0.2041
France,Toronto,42,161,-0.0159
France,Santa Clara,42,132,-0.0121
France,Foxborough,42,88,-0.0062
France,Vancouver,42,70,-0.0038
France,Arlington,42,184,-0.019
France,Guadalupe,42,497,-0.061
France,Seattle,42,56,-0.0019
France,Atlanta,42,320,-0.0373
France,Kansas City,42,274,-0.0311
Iraq,Mexico City,41,2240,-0.2947
Iraq,Zapopan,41,1565,-0.2042
Iraq,Toronto,41,161,-0.0161
Iraq,Santa Clara,41,132,-0.0122
Iraq,Foxborough,41,88,-0.0063
Iraq,Vancouver,41,70,-0.0039
Iraq,Arlington,41,184,-0.0192
Iraq,Guadalupe,41,497,-0.0611
Iraq,Seattle,41,56,-0.002
Iraq,Atlanta,41,320,-0.0374
Iraq,Kansas City,41,274,-0.0312
Norway,Mexico City,26,2240,-0.2967
Norway,Zapopan,26,1565,-0.2062
Norway,Toronto,26,161,-0.0181
Norway,Inglewood,26,40,-0.0019
Norway,Santa Clara,26,132,-0.0142
Norway,Foxborough,26,88,-0.0083
Norway,Vancouver,26,70,-0.0059
Norway,Arlington,26,184,-0.0212
Norway,Guadalupe,26,497,-0.0631
Norway,Seattle,26,56,-0.004
Norway,Atlanta,26,320,-0.0394
Norway,Kansas City,26,274,-0.0332
Senegal,Mexico City,12,2240,-0.2986
Senegal,Zapopan,12,1565,-0.2081
Senegal,Toronto,12,161,-0.02
Senegal,Inglewood,12,40,-0.0038
Senegal,Santa Clara,12,132,-0.0161
Senegal,East Rutherford,12,24,-0.0016
Senegal,Foxborough,12,88,-0.0102
Senegal,Vancouver,12,70,-0.0078
Senegal,Arlington,12,184,-0.023
Senegal,Guadalupe,12,497,-0.065
Senegal,Seattle,12,56,-0.0059
Senegal,Atlanta,12,320,-0.0413
Senegal,Kansas City,12,274,-0.0351
Algeria,Mexico City,113,2240,-0.285
Algeria,Zapopan,113,1565,-0.1946
Algeria,Toronto,113,161,-0.0064
Algeria,Santa Clara,113,132,-0.0025
Algeria,Arlington,113,184,-0.0095
Algeria,Guadalupe,113,497,-0.0515
Algeria,Atlanta,113,320,-0.0277
Algeria,Kansas City,113,274,-0.0216
Argentina,Mexico City,78,2240,-0.2897
Argentina,Zapopan,78,1565,-0.1993
Argentina,Toronto,78,161,-0.0111
Argentina,Santa Clara,78,132,-0.0072
Argentina,Foxborough,78,88,-0.0013
Argentina,Arlington,78,184,-0.0142
Argentina,Guadalupe,78,497,-0.0561
Argentina,Atlanta,78,320,-0.0324
Argentina,Kansas City,78,274,-0.0263
Austria,Mexico City,171,2240,-0.2772
Austria,Zapopan,171,1565,-0.1868
Austria,Arlington,171,184,-0.0017
Austria,Guadalupe,171,497,-0.0437
Austria,Atlanta,171,320,-0.02
Austria,Kansas City,171,274,-0.0138
Jordan,Mexico City,757,2240,-0.1987
Jordan,Zapopan,757,1565,-0.1083
Colombia,Mexico City,1380,2240,-0.1153
Colombia,Zapopan,1380,1565,-0.0248
DR Congo,Mexico City,281,2240,-0.2625
