tournament,team,capital_raw,coverage,n_players,capital_z
euro2024,Croatia,1691.9615,1.0,26,0.0765
euro2024,Czech Republic,1724.5385,1.0,26,0.3617
euro2024,Denmark,1680.7308,1.0,26,-0.0218
euro2024,England,1832.1923,1.0,26,1.3041
euro2024,France,1845.24,1.0,25,1.4184
euro2024,Georgia,1493.3269,0.9615,26,-1.6623
euro2024,Germany,1857.9615,1.0,26,1.5297
euro2024,Hungary,1538.9808,0.9615,26,-1.2627
euro2024,Italy,1798.4231,1.0,26,1.0085
euro2024,Netherlands,1809.5385,1.0,26,1.1058
euro2024,Poland,1624.5,1.0,26,-0.514
euro2024,Portugal,1817.8077,1.0,26,1.1782
euro2024,Romania,1503.1923,0.8462,26,-1.576
euro2024,Scotland,1554.8462,0.9231,26,-1.1238
euro2024,Serbia,1679.4423,0.9615,26,-0.0331
euro2024,Slovakia,1579.1923,0.9231,26,-0.9107
euro2024,Slovenia,1542.0769,0.9231,26,-1.2356
euro2024,Spain,1838.1154,1.0,26,1.356
euro2024,Switzerland,1688.3077,1.0,26,0.0446
euro2024,Turkey,1701.4231,1.0,26,0.1594
euro2024,Ukraine,1689.3462,1.0,26,0.0536
wc2026,Algeria,1579.3077,0.9615,26,-0.2633
wc2026,Argentina,1753.6923,1.0,26,1.0479
wc2026,Australia,1444.7308,0.9231,26,-1.2752
wc2026,Austria,1666.1538,1.0,26,0.3897
wc2026,Belgium,1773.4231,1.0,26,1.1962
wc2026,Bosnia and Herzegovina,1548.2692,0.9231,26,-0.4967
wc2026,Brazil,1778.8846,1.0,26,1.2373
wc2026,Canada,1522.7692,0.9615,26,-0.6884
wc2026,Cape Verde,1475.7308,0.7692,26,-1.0421
wc2026,Colombia,1649.7308,1.0,26,0.2662
wc2026,Croatia,1679.5,1.0,26,0.49
wc2026,Curaçao,1410.5,0.6538,26,-1.5325
wc2026,Czech Republic,1677.8462,1.0,26,0.4776
wc2026,DR Congo,1524.6538,0.8462,26,-0.6742
wc2026,Ecuador,1642.1154,0.9231,26,0.2089
wc2026,Egypt,1581.0385,1.0,26,-0.2503
wc2026,England,1871.9615,1.0,26,1.9371
wc2026,France,1875.8846,1.0,26,1.9666
wc2026,Germany,1864.1923,1.0,26,1.8787
wc2026,Ghana,1566.6154,0.8846,26,-0.3587
wc2026,Haiti,1446.6923,0.7692,26,-1.2604
wc2026,Iran,1483.2692,0.8846,26,-0.9854
wc2026,Iraq,1400.9231,0.7308,26,-1.6046
wc2026,Ivory Coast,1653.5385,0.9615,26,0.2948
wc2026,Japan,1611.6923,1.0,26,-0.0198
wc2026,Jordan,1415.7692,0.8462,26,-1.4929
wc2026,Mexico,1604.0769,1.0,26,-0.0771
wc2026,Morocco,1683.8462,1.0,26,0.5227
wc2026,Netherlands,1772.9615,1.0,26,1.1928
wc2026,New Zealand,1445.1154,0.6154,26,-1.2723
wc2026,Norway,1688.1538,0.9615,26,0.5551
wc2026,Panama,1429.5,0.8462,26,-1.3897
wc2026,Paraguay,1566.8846,0.9231,26,-0.3567
wc2026,Portugal,1822.0385,1.0,26,1.5618
wc2026,Qatar,1427.8462,0.9615,26,-1.4021
wc2026,Saudi Arabia,1621.2692,0.9615,26,0.0522
wc2026,Scotland,1613.0,0.9231,26,-0.01
wc2026,Senegal,1708.7692,1.0,26,0.7101
wc2026,South Africa,1536.1923,1.0,26,-0.5875
