player,nation,minutes,goals,npg,npxg,age
Alisson,BRA,2160,0,0,,33
Alisson Santos,BRA,255,2,2,,23
Aljoscha Kemlein,GER,1513,0,0,,21
Allan Nyom,CMR,289,0,0,,37
Allan Saint-Maximin,FRA,158,1,1,,28
Almoatasem Al Musrati,LBY,759,0,0,,29
Alpha Touré,SEN,1280,0,0,,20
Alphonse Areola,FRA,1800,0,0,,33
Alphonso Davies,CAN,358,0,0,,25
Altay Bayındır,TUR,540,0,0,,27
Alysson Edward,BRA,49,0,0,,19
Amad Diallo,CIV,1738,2,2,,23
Amadou Haidara,MLI,76,1,1,,28
Amadou Onana,BEL,1380,2,2,,24
Amady Camara,MLI,171,0,0,,20
Ameen Al-Dakhil,BEL,380,0,0,,24
Amin Sarr,SWE,965,0,0,,24
Amine Adli,MAR,938,3,3,,25
Amine Gouiri,ALG,828,5,5,,26
Amir Richardson,MAR,42,0,0,,24
Amir Rrahmani,KVX,1356,1,1,,32
Amorim,BRA,73,0,0,,20
Amos Pieper,GER,959,0,0,,28
Anastasios Douvikas,GRE,1565,9,8,,26
Ander Barrenetxea,ESP,1189,3,3,,24
Ander Guevara,ESP,550,1,1,,28
Andoni Gorosabel,ESP,773,0,0,,29
Andre-Frank Zambo Anguissa,CMR,978,4,4,,30
Andrea Belotti,ITA,188,2,1,,32
Andrea Cambiaso,ITA,2024,3,3,,26
Andrea Ghion,ITA,10,0,0,,26
Andrea Pinamonti,ITA,1966,6,6,,26
Andreas Christensen,DEN,380,0,0,,29
Andreas Hanche-Olsen,NOR,851,0,0,,29
Andreas Hountondji,BEN,610,4,4,,23
Andreas Skov Olsen,DEN,362,1,1,,26
Andrei Ratiu,ROU,2107,0,0,,27
Andrej Ilic,SRB,1586,1,1,,25
Andrej Kramarić,CRO,1575,10,7,,34
Andrew Omobamidele,IRL,856,0,0,,23
Andrew Robertson,SCO,670,0,0,,31
Andrey Santos,BRA,975,0,0,,21
Andrias Edmundsson,FRO,450,0,0,,25
Andrija Bulatović,MNE,501,0,0,,19
Andrija Maksimović,SRB,93,0,0,,18
András Schäfer,HUN,987,1,1,,26
André,BRA,2042,1,1,,24
André Gomes,POR,8,0,0,,32
André Silva,POR,1200,7,6,,30
Andréa Le Borgne,FRA,1,0,0,,19
Andrés Antañón,,18,0,0,,
Andrés García,ESP,35,0,0,,23
Andy Diouf,FRA,328,0,0,,22
Andy Irving,SCO,158,0,0,,25
Ange-Yoan Bonny,FRA,760,5,5,,22
Angel Gomes,ENG,1127,3,3,,25
Angeliño,ESP,387,0,0,,29
Angelo Stiller,GER,1962,1,1,,24
Angus Gunn,SCO,45,0,0,,30
Ansgar Knauff,GER,1005,4,4,,24
Ansu Fati,ESP,650,8,5,,23
Ante Budimir,CRO,2022,13,9,,34
Anthony Bermont,FRA,74,0,0,,21
Anthony Caci,FRA,310,0,0,,28
Anthony Elanga,SWE,1143,0,0,,23
Anthony Gordon,ENG,1547,4,1,,25
Anthony Jung,GER,490,0,0,,34
Anthony Lopes,POR,2158,0,0,,35
Anthony Rouault,FRA,1368,1,1,,24
Antoine Bernede,FRA,1801,1,1,,26
Antoine Griezmann,FRA,908,6,6,,34
Antoine Mendy,SEN,1287,0,0,,21
Antoine Semenyo,GHA,2513,15,14,,26
Anton Kade,GER,1059,2,2,,22
Anton Stach,GER,1956,4,4,,27
Antonee Robinson,USA,894,0,0,,28
Antoni Milambo,NED,45,0,0,,20
Antonino Gallo,ITA,2309,0,0,,26
Antonio Arena,ITA,7,0,0,,17
Antonio Blanco,ESP,2136,1,1,,25
Antonio Caracciolo,ITA,2263,0,0,,35
Antonio Nusa,NOR,1527,2,2,,20
Antonio Raillo,ESP,1852,0,0,,34
Antonio Rüdiger,GER,844,0,0,,33
Antonio Sanabria,PAR,694,1,1,,30
Antonio Sivera,ESP,2430,0,0,,29
Antonio Sánchez,ESP,869,0,0,,29
Antonio Vergara,ITA,601,1,1,,23
Antoniu,ESP,115,0,0,,23
Antony,BRA,1795,7,7,,26
Ao Tanaka,JPN,746,2,2,,27
Archie Gray,ENG,1201,2,2,,19
Arda Güler,TUR,1736,3,3,,21
Ardian Ismajli,ALB,1366,0,0,,29
Ardon Jashari,SUI,371,0,0,,23
Arijanet Muric,KVX,2340,0,0,,27
Arijon Ibrahimović,GER,1773,1,0,,20
Aritz Elustondo,ESP,372,0,0,,31
Arkadiusz Pyrka,POL,1769,0,0,,23
Arkaitz Mariezkurrena,ESP,1,0,0,,20
Armand Lauriente,FRA,1730,4,4,,27
Armando Broja,ALB,816,1,1,,24
Armel Bella Kotchap,GER,1264,0,0,,24
Armindo Sieb,GER,441,2,2,,23
Arnau Martinez,ESP,1772,1,1,,22
Arnau Tenas,ESP,270,0,0,,24
Arnaud Bodart,BEL,180,0,0,,27
Arnaud Kalimuendo,FRA,774,3,3,,24
Arnaud Nordin,FRA,831,1,1,,27
Arnaut Danjuma,NED,1501,3,3,,29
Arne Maier,GER,4,0,0,,27
Aron Dønnum,NOR,1769,3,0,,27
Arouna Sangante,SEN,1711,1,1,,23
Arsen Zakharyan,RUS,393,0,0,,22
Arsène Kouassi,BFA,1903,2,2,,21
Artem Dovbyk,UKR,390,3,3,,28
Arthur,BRA,1048,1,1,,22
Arthur Atta,FRA,1722,2,2,,23
Arthur Avom,CMR,1534,1,1,,21
Arthur Chaves,BRA,549,1,1,,25
Arthur Masuaku,COD,127,0,0,,32
Arthur Theate,BEL,1701,1,1,,25
Arthur Vermeeren,BEL,624,0,0,,21
Arturo Calabresi,ITA,1042,0,0,,29
Ashley Barnes,ENG,27,0,0,,36
Asier Hierro,ESP,34,0,0,,20
Asier Osambela,ESP,285,1,1,,22
Assan Ouedraogo,GER,609,3,3,,19
Assane Diao,SEN,321,0,0,,20
Assane Dioussé,SEN,215,0,0,,28
Aster Vranckx,BEL,593,0,0,,23
Atakan Karazor,TUR,1531,0,0,,29
Augusto Batalla,ARG,2430,0,0,,29
Aurele Amenda,SUI,877,0,0,,22
Aurélien Tchouaméni,FRA,1999,1,1,,26
Aurélio Buta,POR,144,0,0,,29
Axel Camblan,FRA,12,0,0,,22
Axel Disasi,FRA,450,0,0,,27
Axel Tapé,FRA,222,0,0,,18
Axel Tuanzebe,COD,931,1,1,,28
Axel Witsel,BEL,1638,1,1,,37
Ayden Heaven,ENG,645,0,0,,19
Aymeric Laporte,ESP,1309,0,0,,31
Ayoube Amaimouni Echghouyab,MAR,231,2,2,,21
Ayoze Pérez,ESP,819,2,2,,32
Ayumu Seko,JPN,1905,0,0,,25
Ayyoub Bouaddi,FRA,1666,0,0,,18
Azzedine Ounahi,MAR,858,3,3,,25
Aïssa Mandi,ALG,1614,1,1,,34
Babis Lykogiannis,GRE,627,0,0,,32
Badredine Bouanani,ALG,537,0,0,,21
Bafodé Diakité,FRA,1277,0,0,,25
Bahereba Guirassy,FRA,770,2,2,,19
Bahmed Deuff,MTN,232,0,0,,19
Bakery Jatta,GAM,690,0,0,,27
Balthazar Pierret,FRA,27,0,0,,25
Bamba Dieng,SEN,622,6,5,,25
Bambo Diaby,SEN,102,0,0,,28
Bamo Meïté,CIV,1511,0,0,,24
Baptiste Santamaria,FRA,754,1,1,,31
Bart Verbruggen,NED,2610,0,0,,23
Bashir Humphreys,ENG,1062,0,0,,22
Batista Mendy,FRA,1471,1,1,,26
Bazoumana Touré,CIV,1606,2,2,,20
Believe Munongo,FRA,295,0,0,,16
Ben Bobzien,GER,9,0,0,,22
Ben Chilwell,ENG,1451,0,0,,29
Ben Cremaschi,USA,122,0,0,,21
Ben Davies,WAL,137,1,1,,32
Ben Gannon-Doak,SCO,57,0,0,,20
Ben White,ENG,411,0,0,,28
Ben Winterburn,ENG,7,0,0,,21
Bence Dárdai,HUN,35,0,0,,20
Bendito Mantato,ENG,16,0,0,,18
Benedict Hollerbach,GER,872,1,1,,24
Benedikt Gimber,GER,1277,0,0,,29
Benjamin André,FRA,1789,2,2,,35
Benjamin Henrichs,GER,186,0,0,,29
Benjamin Pavard,FRA,1475,1,1,,29
Benjamin Stambouli,FRA,737,0,0,,35
Benjamin Šeško,SVN,1306,8,8,,22
Benjamín Domínguez,ARG,453,0,0,,22
Benoît Badiashile,FRA,471,0,0,,24
Berat Djimsiti,ALB,1836,0,0,,33
Berke Özer,TUR,2070,0,0,,25
Bernard Nguene,CMR,138,0,0,,19
Bernardo,BRA,1683,0,0,,30
Bernardo Silva,POR,2171,1,1,,31
Bernd Leno,GER,2610,0,0,,34
Bertrand Traoré,BFA,632,1,1,,30
Bertuğ Yıldırım,TUR,3,0,0,,23
Beto,GNB,1064,4,4,,28
Beñat Prados,ESP,85,0,0,,25
Beñat Turrientes,ESP,791,0,0,,24
Bilal Brahimi,ALG,1,0,0,,25
Bilal El Khannouss,MAR,1254,3,3,,21
Bilal Nadir,MAR,565,0,0,,22
Billy Gilmour,SCO,533,1,1,,24
Bingourou Kamara,SEN,270,0,0,,29
Bojan Miovski,MKD,44,0,0,,26
Borja Iglesias,ESP,1412,11,8,,33
Borja Mayoral,ESP,1041,4,4,,28
Borja Sánchez Laborde,ESP,14,0,0,,30
Borna Sosa,CRO,55,0,0,,28
Boubacar Kamara,FRA,1411,1,1,,26
Boubacar Traoré,MLI,1361,1,1,,24
Boulaye Dia,SEN,877,1,1,,29
Bouna Sarr,SEN,154,0,0,,34
Brad Mantsounga,CGO,90,0,0,,18
Bradley Barcola,FRA,1324,10,10,,23
Bradley Burrowes,ENG,17,0,0,,18
Bradley Locko,FRA,1172,0,0,,23
Brahim Díaz,MAR,551,0,0,,26
Brais Méndez,ESP,1340,5,4,,29
Brajan Gruda,GER,1102,2,2,,21
Branco van den Boomen,NED,448,0,0,,30
Branimir Mlacic,CRO,63,0,0,,18
Breel Embolo,SUI,1367,6,6,,29
Brendan Chardonnet,FRA,2006,0,0,,31
Brenden Aaronson,USA,1863,4,4,,25
Brennan Johnson,WAL,1157,2,2,,24
Brian Brobbey,NED,1202,5,5,,24
Brian Madjo,LUX,157,0,0,,17
Brice Samba,FRA,2160,0,0,,31
Brooke Norton-Cuffy,ENG,2059,2,2,,22
Brugui,ESP,896,0,0,,29
Bruno Fernandes,POR,2254,7,4,,31
Bruno Guimarães,BRA,2017,9,7,,28
Bryan Cristante,ITA,2226,2,2,,31
Bryan Gil,ESP,1349,0,0,,25
Bryan Mbeumo,CMR,2043,9,9,,26
Bryan Okoh,SUI,366,0,0,,22
Bryan Zaragoza,ESP,1266,1,0,,24
Buba Sangaré,ESP,83,0,0,,18
Budu Zivzivadze,GEO,504,1,1,,31
Bukayo Saka,ENG,1908,6,5,,24
CJ Egan-Riley,ENG,487,0,0,,23
Caio Henrique Oliveira Silva,BRA,1529,0,0,,28
Caleb Ekuban,GHA,770,3,3,,31
Calebe,BRA,717,0,0,,25
Callum Hudson-Odoi,ENG,1637,3,3,,25
Callum Marshall,NIR,60,0,0,,21
Callum Wilson,ENG,1004,5,5,,34
Calvin Bassey,NGA,1724,1,1,,26
Calvin Stengs,NED,19,0,0,,27
Calvin Verdonk,IDN,557,0,0,,28
Cameron Puertas,SUI,1192,0,0,,27
Can Uzun,TUR,799,6,5,,20
Caoimhín Kelleher,IRL,2520,0,0,,27
Carl Starfelt,SWE,1401,0,0,,30
Carlens Arcus,HAI,1989,0,0,,29
Carles Aleñá,ESP,1687,0,0,,28
Carlos Alcaraz,ARG,675,0,0,,23
Carlos Augusto,BRA,1109,1,1,,27
Carlos Baleba,CMR,1264,0,0,,22
Carlos Benavídez,URU,242,0,0,,27
Carlos Dominguez,ESP,520,0,0,,25
Carlos Espí,ESP,411,4,4,,20
Carlos Macià,ESP,81,0,0,,17
Carlos Martín,ESP,264,0,0,,23
Carlos Romero,ESP,2127,5,5,,24
Carlos Soler,ESP,1424,4,4,,29
Carlos Vicente,ESP,1258,5,2,,26
Carlos Álvarez,ESP,1786,3,3,,22
Carmona,ESP,1912,1,1,,24
Carney Chukwuemeka,ENG,665,2,2,,22
Cas Odenthal,NED,1,0,0,,25
Casemiro,BRA,1961,6,6,,34
Cassiano Kiala,GER,1,0,0,,17
Castello Lukeba,FRA,1716,1,1,,23
Castrin,ESP,648,0,0,,23
Castrop Jens,KOR,1110,1,1,,22
Catena,ESP,2204,2,2,,31
Cedric Zesiger,SUI,1006,0,0,,27
Cenk Özkacar,TUR,983,0,0,,25
Cenny Neumann,GER,5,0,0,,19
Cesare Casadei,ITA,1614,4,4,,23
Chadi Riad,MAR,314,0,0,,22
Chancel Mbemba,COD,863,0,0,,31
Charalampos Kostoulas,GRE,305,2,2,,18
Charles De Ketelaere,BEL,1540,3,3,,24
Charles Herrmann,GER,5,0,0,,20
Charles Pickel,COD,500,0,0,,28
Charles Vanhoutte,BEL,1545,0,0,,27
Charlie Cresswell,ENG,2160,3,3,,23
Che Adams,SCO,1479,4,4,,29
Cheikh Niasse,SEN,970,0,0,,26
Cheikh Tidiane Sabaly,SEN,967,0,0,,27
Chema,ESP,869,1,1,,20
Chemsdine Talbi,MAR,1152,3,3,,20
Cher Ndour,ITA,1145,1,1,,21
Cheveyo Muy,NED,5,0,0,,
Chidera Ejuke,NGA,639,1,1,,28
Chidozie Awaziem,NGA,1859,1,1,,29
Chris Führich,GER,1079,4,4,,28
Chris Richards,USA,2242,1,1,,25
Chris Rigg,ENG,378,0,0,,18
Chris Wood,NZL,540,2,2,,34
Chrislain Matsima,FRA,1260,1,1,,23
Christ-Owen Kouassi,FRA,228,0,0,,22
Christantus Uche,NGA,443,1,1,,22
Christian Conteh,GER,261,0,0,,26
Christian Eriksen,DEN,1660,2,0,,34
Christian Günter,GER,1150,0,0,,33
Christian Kabasele,BEL,1537,3,3,,35
Christian Kofane,CMR,968,5,5,,19
Christian Kouamé,CIV,27,0,0,,28
Christian Mawissa,FRA,614,0,0,,20
Christian Nørgaard,DEN,61,0,0,,31
Christian Ordoñez,ARG,671,1,1,,21
Christian Pulisic,USA,1123,8,8,,27
Christoph Baumgartner,AUT,1975,10,10,,26
Christopher Nkunku,FRA,972,5,2,,28
Christopher Trimmel,AUT,1385,0,0,,39
Christopher Wooh,CMR,64,0,0,,24
Ciro Immobile,ITA,510,0,0,,36
Claudio Echeverri,ARG,348,0,0,,20
Clemens Riedel,GER,876,0,0,,22
Clinton Mata,ANG,2113,0,0,,33
Clément Akpa,CIV,1724,0,0,,24
Clément Lenglet,FRA,837,0,0,,30
Cléo Melieres,FRA,31,0,0,,20
Coba da Costa,ESP,348,0,0,,23
Cody Gakpo,NED,1973,6,6,,26
Cole Campbell,USA,22,0,0,,20
Cole Palmer,ENG,1237,9,4,,23
Connor Metcalfe,AUS,300,0,0,,26
Conor Bradley,NIR,929,0,0,,22
Conor Gallagher,ENG,1257,2,2,,26
Conrad Harder,DEN,751,2,2,,20
Copete,ESP,1759,0,0,,26
Corentin Tolisso,FRA,1711,7,6,,31
Corrie Ndaba,IRL,390,0,0,,26
Cristhian Mosquera,ESP,620,0,0,,21
Cristhian Stuani,URU,226,3,0,,39
Cristian Cásseres Jr.,VEN,1873,1,1,,26
Cristian Romero,ARG,1709,4,4,,27
Cristian Volpato,ITA,635,1,1,,22
Cristiano Biraghi,ITA,469,0,0,,33
Crysencio Summerville,NED,1856,5,5,,24
Cucho,COL,1833,8,7,,26
Curtis Jones,ENG,1246,0,0,,25
Cyriaque Irié,BFA,134,0,0,,20
Cyril Ngonge,BEL,1102,1,1,,25
Cédric Bakambu,COD,394,3,3,,34
César Azpilicueta,ESP,997,0,0,,36
César Palacios,ESP,26,0,0,,21
César Tárrega,ESP,1698,0,0,,24
Dachi Lordkipanidze,GEO,29,0,0,,21
Daichi Kamada,JPN,1468,0,0,,29
Daley Blind,NED,2122,0,0,,36
Damion Downs,USA,412,0,0,,21
Damián Pizarro,CHI,28,0,0,,20
Damián Rodríguez,ESP,150,0,0,,22
Dan Burn,ENG,1709,0,0,,33
Dan Ndoye,SUI,1115,1,1,,25
Dan Neil,ENG,14,0,0,,24
Dan-Axel Zagadou,FRA,164,0,0,,26
Dane Scarlett,ENG,9,0,0,,21
Danel Sinani,LUX,1485,4,1,,28
Dango Ouattara,BFA,1616,5,5,,24
Dani Calvo,ESP,885,0,0,,31
Dani Carvajal,ESP,506,0,0,,34
Dani Ceballos,ESP,469,0,0,,29
Dani Olmo,ESP,1387,6,6,,27
Dani Raba,ESP,261,0,0,,30
Dani Rodríguez,ESP,68,0,0,,37
Daniel Ballard,NIR,1945,2,2,,26
Daniel Batz,GER,1170,0,0,,35
Daniel Boloca,ROU,135,0,0,,27
Daniel Denoon,SUI,122,0,0,,22
Daniel Díaz,ESP,18,0,0,,19
Daniel Elfadli,LBY,1158,0,0,,28
Daniel Guerrero,ESP,1,0,0,,20
Daniel Heuer Fernandes,POR,2250,0,0,,33
Daniel James,WAL,408,0,0,,28
Daniel Maldini,ITA,587,0,0,,24
Daniel Mosquera,COL,581,0,0,,26
Daniel Muñoz,COL,1778,3,3,,29
Daniel Oyegoke,ENG,320,0,0,,23
Daniel Parejo,ESP,1049,0,0,,36
Daniel Svensson,SWE,1968,2,2,,24
Daniel Vivian,ESP,1918,0,0,,26
Daniel Xavier Semedo,FRA,11,0,0,,22
Daniele Ghilardi,ITA,664,0,0,,23
Daniele Padelli,ITA,180,0,0,,40
Daniele Rugani,ITA,340,0,0,,31
Daniele Sommariva,ITA,176,0,0,,28
Danilho Doekhi,NED,2250,4,4,,27
Danilo Cataldi,ITA,1798,3,1,,31
Danilo Veiga,POR,2171,0,0,,23
Danny Loader,CMR,1803,2,2,,25
Danny Welbeck,ENG,1655,10,9,,35
Danny da Costa,GER,2022,2,2,,32
Dante,BRA,566,0,0,,42
Daouda Guindo,MLI,1107,0,0,,23
Daren Mosengo,FRA,106,0,0,,19
Darlin Yongwa,CMR,1103,0,0,,25
Darryl Bakola,FRA,75,0,0,,18
David Affengruber,AUT,2009,0,0,,24
David Alaba,AUT,247,0,0,,33
David Brooks,WAL,1022,1,1,,28
David Carmo,ANG,1632,1,1,,26
David Costas,ESP,1430,0,0,,30
David Daiber,POR,29,0,0,,19
David Datro Fofana,CIV,69,0,0,,23
David Jiménez,ESP,76,0,0,,21
David López,ESP,661,0,0,,23
David Møller Wolfe,NOR,846,0,0,,23
David Neres,BRA,922,3,3,,29
David Odogu,GER,5,0,0,,19
David Okereke,NGA,110,0,0,,28
David Raum,GER,2122,3,2,,27
David Raya,ESP,2700,0,0,,30
David Soria,ESP,2430,0,0,,32
David de Gea,ESP,2520,0,0,,35
Davide Bartesaghi,ITA,1743,2,2,,20
Davide Frattesi,ITA,475,0,0,,26
Davide Zappacosta,ITA,1820,1,1,,33
Davinchi,ESP,429,0,0,,18
Dawda Camara,MTN,72,0,0,,23
Dayann Methalie,FRA,1464,0,0,,20
Dayot Upamecano,FRA,1509,1,1,,27
Dean Henderson,ENG,2610,0,0,,28
Dean Huijsen,ESP,1406,1,1,,20
Declan Rice,ENG,2491,4,4,,27
Dehmaine Assoumani,FRA,980,0,0,,20
Deiver Machado,COL,750,0,0,,32
Denis Huseinbasic,BIH,660,0,0,,24
Denis Suárez,ESP,1017,1,1,,32
Denis Vavro,SVK,558,1,1,,29
Denis Zakaria,SUI,1221,2,2,,29
Deniz Undav,GER,1553,15,15,,29
Dennis Cirkin,ENG,298,0,0,,23
Dennis Johnsen,NOR,390,1,1,,28
Denzel Dumfries,NED,751,1,1,,29
Derek Cornelius,CAN,58,0,0,,28
Dermane Karim,TOG,1080,1,1,,22
Derrick Köhn,GHA,1525,1,0,,27
Derry Scherhant,GER,765,4,4,,23
Destiny Udogie,ITA,798,0,0,,23
Devyne Rensch,NED,636,0,0,,23
Diant Ramaj,GER,2160,0,0,,24
Diego Carlos,BRA,1403,0,0,,32
Diego Coppola,ITA,554,0,0,,22
Diego Gómez,PAR,1752,5,5,,22
Diego Llorente,ESP,540,1,1,,32
Diego López,ESP,1299,3,3,,23
Diego Morcillo,ESP,10,0,0,,22
Diego Moreira,BEL,1830,3,3,,21
Diego Pampín,ESP,368,0,0,,25
Diego Rico,ESP,1652,0,0,,33
Dilane Bakwa,FRA,452,1,1,,23
Dimitri Foulquier,FRA,1150,0,0,,32
Dimitris Giannoulis,GRE,1298,2,2,,30
Diogo Dalot,POR,2053,1,1,,26
Diogo Leite,POR,1355,0,0,,27
Divine Mukasa,ENG,27,0,0,,18
Djaoui Cissé,FRA,926,0,0,,22
Djed Spence,ENG,1688,0,0,,25
Djené,TOG,1868,0,0,,34
Djibril Sidibé,FRA,1787,3,2,,33
Djibril Sow,SUI,1565,4,4,,29
Dmytro Bohdanov,UKR,1,0,0,,19
Dodi Lukebakio,BEL,180,1,1,,28
Dodô,BRA,2324,0,0,,27
Domagoj Bradarić,CRO,1784,0,0,,26
Domenico Berardi,ITA,1312,7,5,,31
Domingos André Ribeiro Almeida,POR,825,0,0,,25
Domingos Duarte,POR,2050,0,0,,30
Dominic Calvert-Lewin,ENG,1935,10,8,,28
Dominic Solanke,ENG,602,3,3,,28
Dominik Greif,SVK,1890,0,0,,28
Dominik Kohr,GER,1663,1,1,,32
Dominik Szoboszlai,HUN,2421,4,4,,25
Dominique Heintz,GER,380,0,0,,32
Donny van de Beek,NED,41,0,0,,28
Donovan Léon,GUF,2024,0,0,,33
Donyell Malen,NED,1313,10,9,,27
Douglas Luiz,BRA,771,1,1,,27
Dro Fernández,ESP,309,0,0,,18
Duje Ćaleta-Car,CRO,1415,1,1,,29
Duván Zapata,COL,842,2,2,,34
Dušan Vlahović,SRB,680,3,2,,26
