player,nation,minutes,goals,npg,npxg,age
Alessio Iovine,ITA,387,0,0,0.0,33
Alessio Romagnoli,ITA,2672,2,2,2.4,29
Alessio Zerbin,ITA,1520,1,1,1.9,25
Alex Baena,ESP,2595,7,7,6.3,23
Alex Iwobi,NGA,2981,9,9,4.7,28
Alex Král,CZE,2714,0,0,1.5,26
Alex McCarthy,ENG,450,0,0,0.0,34
Alex Meret,ITA,3005,0,0,0.0,27
Alex Padilla,ESP,321,0,0,0.0,20
Alex Palmer,ENG,1170,0,0,0.0,27
Alex Scott,ENG,755,0,0,0.7,20
Alex Sola,ESP,1029,0,0,1.0,25
Alexander Bernhardsson,SWE,1263,7,7,4.1,25
Alexander Isak,SWE,2756,23,19,17.2,24
Alexander Meyer,GER,180,0,0,0.0,33
Alexander Nübel,GER,3060,0,0,0.0,27
Alexander Prass,AUT,1566,0,0,0.9,23
Alexander Schwolow,GER,540,0,0,0.0,32
Alexander Sørloth,NOR,1566,20,19,16.0,28
Alexandre Lacazette,FRA,2051,15,10,11.7,33
Alexis Claude-Maurice,FRA,2109,9,9,4.7,26
Alexis Mac Allister,ARG,2599,5,5,2.8,25
Alexis Saelemaekers,BEL,1479,7,7,2.5,25
Alexis Sánchez,CHI,437,0,0,0.8,35
Alexsandro Ribeiro,BRA,2700,1,1,1.6,24
Alfie Dorrington,ENG,14,0,0,0.0,19
Alfie Pond,ENG,1,0,0,0.0,20
Alfon,ESP,1371,5,5,4.6,25
Alfonso Espino,URU,833,0,0,0.4,32
Alfonso Pedraza,ESP,460,0,0,0.5,28
Alfred Duncan,GHA,957,0,0,0.8,31
Ali Abdi,TUN,1393,5,5,4.3,30
Ali Al Hamadi,IRQ,134,0,0,0.4,22
Ali Dembélé,FRA,388,1,1,0.4,20
Ali Jasim,IRQ,10,0,0,0.0,20
Alidu Seidu,GHA,803,0,0,0.1,24
Alieu Fadera,GAM,1644,1,1,1.7,22
Alieu Njie,SWE,394,1,1,1.5,19
Aliou Badara Baldé,GUI,91,0,0,0.2,21
Alisson,BRA,2508,0,0,0.0,31
Aljoscha Kemlein,GER,922,1,1,0.9,19
Allan Nyom,CMR,887,1,1,0.5,36
Almoatasem Al Musrati,LBY,386,1,1,0.5,28
Almugera Kabar,GER,137,0,0,0.0,18
Alois Confais,FRA,3,0,0,0.0,27
Alphadjo Cissè,ITA,9,0,0,0.0,17
Alphonse Areola,FRA,2260,0,0,0.0,31
Alphonso Davies,CAN,1560,1,1,1.2,23
Altay Bayındır,TUR,360,0,0,0.0,26
Amad Diallo,CIV,1901,8,8,4.7,22
Amadou Haidara,MLI,1320,0,0,1.4,26
Amadou Koné,MLI,1293,0,0,0.5,19
Amadou Onana,BEL,1617,3,3,2.1,22
Amar Dedić,BIH,314,0,0,0.9,21
Amath,SEN,375,0,0,0.4,28
Ameen Al-Dakhil,BEL,432,0,0,0.1,22
Amidou Doumbouya,FRA,46,0,0,0.0,16
Amin Sarr,SWE,1907,4,4,3.2,23
Amine Adli,MAR,766,2,2,2.7,24
Amine Gouiri,ALG,2085,13,13,11.9,24
Amine Harit,MAR,519,2,2,0.8,27
Amine Salama,FRA,373,0,0,0.7,24
Amir Richardson,MAR,1099,1,1,0.9,22
Amir Rrahmani,KVX,3406,1,1,2.9,30
Amos Pieper,GER,1498,0,0,0.4,26
Anass Salah-Eddine,NED,152,0,0,0.3,22
Anass Zaroury,MAR,1405,2,2,1.7,23
Anastasios Douvikas,GRE,1280,5,5,6.9,24
Ander Barrenetxea,ESP,1263,1,1,1.6,22
Ander Guevara,ESP,1947,0,0,0.9,27
Ander Herrera,ESP,273,0,0,0.9,34
Andoni Gorosabel,ESP,1485,0,0,0.3,27
Andre-Frank Zambo Anguissa,CMR,2852,6,6,4.4,28
Andrea Belotti,ITA,593,2,2,2.5,30
Andrea Cambiaso,ITA,2221,2,2,0.7,24
Andrea Carboni,ITA,2191,0,0,0.3,23
Andrea Colpani,ITA,1450,2,2,2.7,25
Andrea Mazza,ITA,8,0,0,0.0,20
Andrea Petagna,ITA,335,0,0,0.2,29
Andrea Pinamonti,ITA,2850,10,10,7.0,25
Andreas Albers,DEN,62,1,1,0.6,34
Andreas Christensen,DEN,254,0,0,0.0,28
Andreas Hanche-Olsen,NOR,1284,1,1,0.8,27
Andreas Pereira,BRA,2013,2,2,3.0,28
Andreas Skov Olsen,DEN,535,1,1,0.8,24
Andrei Ratiu,ROU,3065,2,2,1.8,26
Andrej Ilic,SRB,937,7,6,4.1,24
Andrej Kramarić,CRO,2767,11,8,9.5,33
Andrew Omobamidele,IRL,539,0,0,0.0,22
Andrew Robertson,SCO,2482,0,0,1.2,30
Andrey Santos,BRA,2855,10,10,5.1,20
Andriy Lunin,UKR,630,0,0,0.0,25
András Schäfer,HUN,1534,1,1,0.6,25
André,BRA,2472,0,0,0.4,23
André Ayew,GHA,1453,4,4,4.3,34
André Ferreira,POR,540,0,0,0.0,28
André Gomes,POR,1276,0,0,0.5,31
André Onana,CMR,3060,0,0,0.0,28
André Silva,POR,507,2,0,1.5,28
Andrés García,ESP,318,0,0,0.0,21
Andu Kelati,GER,288,1,1,0.9,21
Andy Delort,ALG,607,0,0,1.3,32
Andy Diouf,FRA,2225,1,1,2.9,21
Andy Irving,SCO,166,0,0,0.1,24
Andy Pelmard,MAD,334,0,0,0.0,24
Ange Martial Tia,MLI,171,0,0,1.3,17
Ange-Yoan Bonny,FRA,2529,6,4,7.1,20
Angel Gomes,ENG,736,1,1,0.9,23
Angeliño,ESP,3177,2,2,1.4,27
Angelo Fulgini,FRA,1045,1,1,2.4,27
Angelo Stiller,GER,2741,1,1,1.8,23
Anrie Chase,JPN,734,0,0,0.1,20
Ansgar Knauff,GER,1597,4,4,4.9,22
Ansu Fati,ESP,233,0,0,1.0,21
Ante Budimir,CRO,2952,21,13,12.3,33
Ante Rebić,CRO,788,1,1,2.1,30
Anthony Briançon,FRA,1,0,0,0.0,29
Anthony Caci,FRA,2684,1,1,3.1,27
Anthony Elanga,SWE,2501,6,6,4.5,22
Anthony Gordon,ENG,2434,6,5,6.5,23
Anthony Jung,GER,1898,0,0,0.0,32
Anthony Lopes,POR,1563,0,0,0.0,33
Anthony Losilla,FRA,1137,0,0,0.1,38
Anthony Rouault,FRA,2184,1,1,1.0,23
Antoine Bernede,FRA,594,1,1,0.8,25
Antoine Griezmann,FRA,2469,8,7,5.9,33
Antoine Hainaut,FRA,1206,2,2,0.8,22
Antoine Joujou,FRA,943,0,0,0.6,21
Antoine Makoumbou,CGO,2150,0,0,0.3,26
Antoine Mendy,SEN,825,0,0,0.6,20
Antoine Semenyo,GHA,3203,11,11,10.0,24
Anton Stach,GER,2585,1,1,2.0,25
Antonee Robinson,USA,3167,0,0,0.7,26
Antonino Gallo,ITA,2609,0,0,0.3,24
Antonio Blanco,ESP,2727,0,0,0.8,24
Antonio Candela,ITA,1914,0,0,0.3,24
Antonio Nusa,NOR,1558,3,3,1.6,19
Antonio Raillo,ESP,3207,2,2,2.0,32
Antonio Raimondo,ITA,94,0,0,0.3,20
Antonio Rüdiger,GER,2291,0,0,1.7,31
Antonio Sanabria,PAR,1318,2,2,2.1,28
Antonio Sivera,ESP,2810,0,0,0.0,27
Antonio Sánchez,ESP,1395,0,0,1.1,27
Antoniu,ESP,1022,0,0,0.9,21
Antony,BRA,1503,5,5,3.9,24
Antonín Barák,CZE,54,0,0,0.1,29
Antonín Kinský,CZE,540,0,0,0.0,21
Anuar,MAR,1720,2,2,1.7,29
Archie Gray,ENG,1751,0,0,0.0,18
Arda Güler,TUR,1250,3,3,3.3,19
Ardian Ismajli,ALB,2508,0,0,0.3,27
Aridane Hernández,ESP,1025,0,0,0.9,35
Arijanet Muric,KVX,1620,0,0,0.0,25
Arijon Ibrahimović,GER,9,0,0,0.1,18
Aristide Zossou,CIV,16,0,0,0.0,19
Aritz Arambarri,ESP,177,0,0,0.0,26
Aritz Elustondo,ESP,1457,0,0,0.4,30
Arkaitz Mariezkurrena,ESP,241,2,2,1.0,19
Armando Broja,ALB,334,0,0,0.1,22
Armando Izzo,ITA,2435,1,1,0.4,32
Armel Bella Kotchap,GER,331,0,0,0.3,22
Armin Gigovic,BIH,1895,5,5,1.9,22
Armindo Sieb,GER,762,2,2,2.8,21
Arnau Martinez,ESP,2624,2,2,1.2,21
Arnau Rafús,ESP,90,0,0,0.0,21
Arnau Solà,ESP,13,0,0,0.0,21
Arnau Tenas,ESP,90,0,0,0.0,23
Arnaud Kalimuendo,FRA,2578,17,12,8.9,22
Arnaud Nordin,FRA,1246,4,3,2.5,26
Arnaut Danjuma,NED,1535,4,4,4.4,27
Arne Engels,BEL,79,0,0,0.4,20
Arne Maier,GER,938,0,0,1.5,25
Aron Dønnum,NOR,2689,2,2,2.1,26
Arouna Sangante,SEN,1244,3,3,1.0,22
Arsen Zakharyan,RUS,73,1,1,0.2,21
Artem Dovbyk,UKR,2418,12,10,10.3,27
Arthur,BRA,752,0,0,0.1,21
Arthur Atta,FRA,1251,0,0,1.3,21
Arthur Chaves,BRA,2185,1,1,0.8,23
Arthur Desmas,FRA,1620,0,0,0.0,30
Arthur Melo,BRA,941,0,0,0.2,27
Arthur Theate,BEL,2704,0,0,2.4,24
Arthur Vermeeren,BEL,1572,0,0,0.4,19
Arturo Rodríguez,ESP,21,0,0,0.0,17
Arvid Brorsson,SWE,362,0,0,0.0,25
Asher Agbinone,ENG,6,0,0,0.0,18
Ashley Young,ENG,1875,1,1,0.3,39
Asier Villalibre,ESP,333,1,0,0.8,26
Assan Ouedraogo,GER,50,0,0,0.1,18
Assane Diao,SEN,1529,9,9,4.8,18
Assane Dioussé,SEN,663,0,0,0.1,26
Aster Vranckx,BEL,556,0,0,0.0,21
Atakan Karazor,,2618,2,2,2.0,27
Augustine Boakye,GHA,733,3,3,1.8,23
Augusto Batalla,ARG,2880,0,0,0.0,28
Aurele Amenda,SUI,96,0,0,0.0,21
Aurélien Tchouaméni,FRA,2689,0,0,1.7,24
Aurélio Buta,POR,1970,0,0,0.3,27
Axel Camblan,FRA,26,0,0,0.0,20
Axel Disasi,FRA,854,1,1,0.4,26
Axel Gueguin,FRA,23,0,0,0.0,19
Axel Tapé,FRA,180,0,0,0.0,16
Axel Tuanzebe,COD,1710,0,0,0.2,26
Axel Witsel,BEL,852,0,0,0.0,35
Ayanda Sishuba,BEL,3,0,0,0.0,19
Ayden Heaven,ENG,170,0,0,0.1,17
Ayman Aiki,FRA,127,0,0,0.1,19
Ayman Azhil,MAR,24,0,0,0.0,23
Aymen Barkok,MAR,73,0,0,0.0,26
Ayoze Pérez,ESP,1970,19,19,12.7,31
Ayyoub Bouaddi,FRA,1151,0,0,0.1,16
Azor Matusiwa,NED,2078,1,1,1.2,26
Aïssa Mandi,ALG,1733,0,0,0.3,32
Badredine Bouanani,ALG,1099,3,2,1.9,19
Bafodé Diakité,FRA,2766,4,4,2.3,23
Bahereba Guirassy,FRA,348,2,2,0.7,17
Balthazar Pierret,FRA,1723,0,0,0.2,24
Bamba Dieng,SEN,532,3,2,2.3,24
Bamo Meïté,CIV,450,0,0,0.0,22
Baptiste Santamaria,FRA,1409,0,0,1.0,29
Bart Verbruggen,NED,3240,0,0,0.0,21
Bazoumana Touré,CIV,609,0,0,1.4,18
Becir Omeragic,SUI,1799,0,0,0.3,22
Ben Alexander Voll,GER,91,0,0,0.0,23
Ben Brereton,CHI,449,0,0,0.9,25
Ben Chilwell,ENG,259,1,1,0.2,27
Ben Davies,WAL,1331,0,0,0.3,31
Ben Godfrey,ENG,182,0,0,0.0,26
Ben Johnson,ENG,1354,1,1,1.1,24
Ben Lhassine Kone,CIV,51,0,0,0.0,24
Ben Mee,ENG,183,0,0,0.0,34
Ben Old,NZL,528,0,0,1.0,21
Ben Viadere,FRA,5,0,0,0.0,18
Ben White,ENG,1198,0,0,0.5,26
Ben Winterburn,ENG,24,0,0,0.0,19
Bence Dárdai,HUN,1304,1,1,1.0,18
Benedict Hollerbach,GER,2540,9,9,7.0,23
Benedikt Gimber,GER,2671,0,0,0.7,27
Benedikt Pichler,AUT,785,1,1,2.3,27
Benito Ramírez,ESP,478,0,0,0.3,29
Benjamin André,FRA,2692,0,0,1.4,33
Benjamin Bouchouari,MAR,1772,1,1,0.6,22
Benjamin Bourigeaud,FRA,80,1,1,0.2,30
Benjamin Henrichs,GER,935,0,0,0.4,27
Benjamin Lecomte,FRA,2700,0,0,0.0,33
Benjamin Pavard,FRA,1584,0,0,0.5,28
Benjamin Siegrist,SUI,152,0,0,0.0,32
Benjamin Šeško,SVN,2380,13,11,8.4,21
Benjamín Domínguez,ARG,1281,3,3,2.2,20
Benoît Badiashile,FRA,334,0,0,0.0,23
Berat Djimsiti,ALB,2640,1,1,2.7,31
Beres Owusu,FRA,90,0,0,0.0,20
Bernard Nguene,CMR,13,0,0,0.0,17
Bernardo,BRA,1782,0,0,0.7,29
Bernardo Silva,POR,2670,4,4,3.9,29
Bernd Leno,GER,3420,0,0,0.0,32
Bertuğ Yıldırım,TUR,1083,1,1,2.5,22
Beto,GNB,1534,8,8,8.2,26
Beñat Prados,ESP,1715,1,1,1.0,23
Beñat Turrientes,ESP,942,0,0,0.6,22
Bilal Brahimi,ALG,76,0,0,0.0,24
Bilal El Khannouss,MAR,2182,2,2,1.3,20
Bilal Nadir,MAR,383,1,1,0.6,20
Billy Gilmour,SCO,1275,0,0,0.6,23
Birama Touré,MLI,300,0,0,0.0,32
Bjarki Bjarkason,ISL,165,0,0,0.0,24
Bob Murphy Omoregbe,ITA,3,0,0,0.0,20
Bobby De Cordova-Reid,JAM,744,1,1,0.8,31
Bojan Miovski,MKD,869,2,2,2.7,25
Borja Iglesias,ESP,1952,11,11,9.3,31
Borja Mayoral,ESP,1114,5,4,2.6,27
Borna Barišić,CRO,9,0,0,0.0,31
Borna Sosa,CRO,1181,0,0,0.3,26
Botond Balogh,HUN,2053,0,0,0.4,22
Boubacar Kamara,FRA,1726,1,1,0.8,24
Boubacar Traoré,MLI,1,0,0,0.0,22
Boubakar Kouyaté,MLI,756,0,0,0.5,27
Boubakary Soumaré,FRA,2171,0,0,0.3,25
Boulaye Dia,SEN,2177,9,9,7.1,27
Bradley Barcola,FRA,2181,14,14,13.4,21
Bradley Locko,FRA,97,0,0,0.0,22
Brahim Díaz,MAR,1385,4,4,5.3,24
Brais Méndez,ESP,1531,3,3,3.5,27
Brajan Gruda,GER,687,1,1,1.2,20
Brandon Austin,ENG,90,0,0,0.0,25
Breel Embolo,SUI,1841,6,6,10.8,27
Brendan Chardonnet,FRA,2416,1,1,0.8,29
Brennan Johnson,WAL,2177,11,11,10.4,23
Brenner,BRA,386,1,1,0.6,24
Brian Oliván,ESP,1017,0,0,0.4,30
Brice Samba,FRA,2879,0,0,0.0,30
Brooke Norton-Cuffy,ENG,719,0,0,0.3,20
Bruno Fernandes,POR,3018,8,5,7.6,29
Bruno Guimarães,BRA,3271,5,5,4.3,26
Bryan Cristante,ITA,2045,4,4,2.1,29
Bryan Gil,ESP,1721,3,3,2.3,23
Bryan Mbeumo,CMR,3414,20,15,7.5,24
Bryan Zaragoza,ESP,1836,1,1,2.7,22
Budu Zivzivadze,GEO,958,2,2,1.7,30
Bukayo Saka,ENG,1729,6,5,6.0,22
Caio Henrique Oliveira Silva,BRA,1929,0,0,0.2,27
Caleb Ekuban,GHA,555,1,1,2.8,30
Caleb Kporha,ENG,13,0,0,0.0,18
Caleb Okoli,ITA,1125,1,1,0.6,23
Caleb Wiley,USA,266,0,0,0.0,19
Callum Hudson-Odoi,ENG,2194,5,5,2.5,23
Callum Wilson,ENG,370,0,0,0.4,32
Calvin Bassey,NGA,3074,1,1,1.0,24
Cameron Archer,ENG,1441,2,2,4.9,23
Cameron Burgess,AUS,1541,0,0,1.1,28
Can Uzun,TUR,675,4,4,3.0,18
Caoimhín Kelleher,IRL,900,0,0,0.0,25
Carl Johansson,SWE,568,0,0,0.0,30
Carl Starfelt,SWE,2270,1,1,0.5,29
Carlens Arcus,HAI,2047,0,0,0.0,28
Carles Aleñá,ESP,1542,0,0,1.6,26
Carles Pérez,ESP,1431,3,3,2.4,26
Carlo Boukhalfa,MAR,1646,2,2,1.5,25
Carlos Alcaraz,ARG,774,2,2,1.8,21
Carlos Augusto,BRA,1691,3,3,2.8,25
Carlos Baleba,CMR,2661,3,3,3.1,20
Carlos Benavídez,URU,487,1,1,0.3,26
Carlos Dominguez,ESP,1181,0,0,0.2,23
Carlos Forbs,POR,239,0,0,0.1,20
Carlos Guirao,ESP,110,0,0,0.0,21
Carlos Gómez,COL,381,3,3,1.3,21
Carlos Martín,ESP,1333,2,2,2.3,22
Carlos Romero,ESP,2554,2,2,2.0,22
Carlos Soler,ESP,1409,1,1,1.8,27
Carlos Vicente,ESP,3092,5,4,2.7,25
Carlos Vinícius,BRA,16,0,0,0.0,29
Carmona,ESP,2942,0,0,0.5,22
Carney Chukwuemeka,ENG,253,1,1,0.6,20
Casemiro,BRA,1494,1,1,1.9,32
Casper Tengstedt,DEN,1517,6,5,4.5,24
Castello Lukeba,FRA,1577,0,0,0.4,21
Catena,ESP,3074,1,1,2.2,29
Cedric Zesiger,SUI,1743,0,0,1.3,26
Cenk Özkacar,TUR,757,0,0,0.1,23
Cesare Casadei,ITA,1017,1,1,1.2,21
Chadi Riad,MAR,90,0,0,0.0,21
Charalampos Lykogiannis,GRE,1048,0,0,0.2,30
Charles De Ketelaere,BEL,2070,7,7,7.3,23
Charlie Cresswell,ENG,2592,3,3,3.3,21
Charlie Taylor,ENG,356,0,0,0.0,30
Che Adams,SCO,2652,9,9,8.2,28
Cheick Doucouré,MLI,452,0,0,0.4,24
Cheick Oumar Conde,GUI,151,0,0,0.0,24
Cheikh Niasse,SEN,755,0,0,0.4,24
Chema,ESP,12,0,0,0.0,19
Cher Ndour,ITA,406,0,0,0.1,20
Chidera Ejuke,NGA,966,2,2,1.1,26
Chidozie Obi-Martin,DEN,165,0,0,0.7,16
Chiedozie Ogbene,IRL,238,0,0,0.0,27
Chiquinho,POR,153,0,0,0.3,24
Chris Führich,GER,1981,2,2,2.9,26
Chris Richards,USA,1922,1,1,1.4,24
Chris Wood,NZL,2959,20,17,11.0,32
Chrislain Matsima,FRA,2551,1,1,1.8,22
Christantus Uche,NGA,2486,4,4,3.8,21
Christian Eriksen,DEN,1061,1,0,0.6,32
Christian Gytkjær,DEN,754,2,1,1.6,34
Christian Günter,GER,2314,2,2,0.6,31
Christian Kabasele,BEL,1161,2,2,1.5,33
Christian Kouamé,CIV,1129,1,1,3.8000000000000003,26
Christian Mawissa,FRA,1501,0,0,0.1,19
Christian Nørgaard,DEN,2819,5,5,4.3,30
Christian Pulisic,USA,2478,11,8,8.9,25
Christian Walton,ENG,630,0,0,0.0,28
Christoph Baumgartner,AUT,1610,2,2,4.5,24
Christopher Nkunku,FRA,921,3,3,4.8,26
Christopher Operi,CIV,1169,0,0,0.3,27
Christopher Trimmel,AUT,1740,0,0,0.2,37
Christopher Wooh,CMR,1456,0,0,1.3,22
Christos Mandas,GRE,810,0,0,0.0,22
Chuba Akpom,ENG,639,3,2,3.4,28
Chuky san jose,ESP,728,2,2,2.2,20
Claudio Echeverri,ARG,6,0,0,0.0,18
Clinton Mata,ANG,2370,0,0,0.2,31
Clément Akpa,CIV,2486,0,0,0.3,22
Clément Lenglet,FRA,1972,2,2,2.4,29
Coba da Costa,ESP,1006,1,1,1.1,22
Cody Gakpo,NED,1935,10,10,7.1,25
Cole Campbell,USA,22,0,0,0.0,18
Cole Palmer,ENG,3191,15,11,13.3,22
Connor Metcalfe,AUS,358,0,0,0.7,24
Conor Bradley,NIR,754,0,0,0.7,21
Conor Chaplin,ENG,857,1,1,1.5,27
Conor Coady,ENG,1714,1,1,0.4,31
Conor Gallagher,ENG,1633,3,3,2.8,24
Conor Townsend,ENG,335,0,0,0.0,31
Copete,ESP,1528,0,0,0.5,24
Corentin Tolisso,FRA,2329,7,7,5.3,29
Craig Dawson,ENG,971,0,0,0.5,34
Cristhian Mosquera,ESP,3319,1,1,0.4,20
Cristhian Stuani,URU,1078,11,8,5.8,37
Cristian Cásseres Jr.,VEN,2696,1,1,1.0,24
Cristian Gamboa,CRC,226,1,1,0.2,34
Cristian Romero,ARG,1416,1,1,1.6,26
Cristiano Biraghi,ITA,1591,1,1,0.7,31
Crysencio Summerville,NED,786,1,1,1.6,22
Cucho,COL,1139,5,5,3.8,25
Curtis Jones,ENG,1712,3,3,4.3,23
Cyle Larin,CAN,1764,7,6,6.1,29
Cyril Ngonge,BEL,216,0,0,0.7,24
Cédric Bakambu,COD,710,2,2,3.2,33
Cédric Hountondji,BEN,270,0,0,0.0,30
Cédric Kipré,CIV,2190,0,0,0.6,27
César Azpilicueta,ESP,875,1,1,0.2,34
César Tárrega,ESP,3026,2,2,2.0,22
Daichi Kamada,JPN,1564,0,0,1.1,27
Dailon Livramento,CPV,940,1,1,1.8,23
Daler Kuzyaev,RUS,567,1,1,0.2,31
Daley Blind,NED,2780,0,0,0.5,34
Daley Sinkgraven,NED,91,0,0,0.0,29
Damián Pizarro,CHI,16,0,0,0.0,19
Damián Rodríguez,ESP,927,0,0,0.1,21
Dan Burn,ENG,3330,1,1,2.0,32
Dan Ndoye,SUI,2143,8,6,5.4,23
Dan-Axel Zagadou,FRA,29,0,0,0.0,25
Dane Scarlett,ENG,34,0,0,0.0,20
Danel Sinani,LUX,1250,2,2,1.7,27
Dango Ouattara,BFA,2005,7,7,8.4,22
Dani Carvajal,ESP,609,1,1,1.3,32
Dani Ceballos,ESP,1215,0,0,0.4,27
Dani Cárdenas,ESP,540,0,0,0.0,27
Dani Gómez,ESP,532,2,2,2.7,26
Dani Olmo,ESP,1212,10,8,4.9,26
Dani Raba,ESP,1879,8,4,3.6,28
Dani Rodríguez,ESP,2162,4,4,2.8,36
Dani de Wit,NED,1153,2,2,2.1,26
Daniel Bandeira,POR,407,0,0,0.0,24
Daniel Bentley,ENG,180,0,0,0.0,31
Daniel Díaz,ESP,10,0,0,0.0,18
Daniel Fila,CZE,492,2,2,1.4,21
