team,player,caps,club,birth
Poland,Wojciech Szczęsny,26,Roma,1990-04-18
Poland,Michał Pazdan,17,Legia Warsaw,1987-09-21
Poland,Artur Jędrzejczyk,19,Legia Warsaw,1987-11-04
Poland,Thiago Cionek,6,Palermo,1986-04-21
Poland,Krzysztof Mączyński,16,Wisła Kraków,1987-05-23
Poland,Tomasz Jodłowiec,44,Legia Warsaw,1985-09-08
Poland,Arkadiusz Milik,26,Ajax,1994-02-28
Poland,Karol Linetty,10,Lech Poznań,1995-02-02
Poland,Robert Lewandowski,76,Bayern Munich,1988-08-21
Poland,Grzegorz Krychowiak,34,Sevilla,1990-01-29
Poland,Kamil Grosicki,39,Rennes,1988-06-08
Poland,Artur Boruc,63,Bournemouth,1980-02-20
Poland,Mariusz Stępiński,3,Ruch Chorzów,1995-05-12
Poland,Jakub Wawrzyniak,49,Lechia Gdańsk,1983-07-07
Poland,Kamil Glik,41,Torino,1988-02-03
Poland,Jakub Błaszczykowski,79,Fiorentina,1985-12-14
Poland,Sławomir Peszko,37,Lechia Gdańsk,1985-02-19
Poland,Bartosz Salamon,8,Cagliari,1991-05-01
Poland,Piotr Zieliński,15,Empoli,1994-05-20
Poland,Łukasz Piszczek,46,Borussia Dortmund,1985-06-03
Poland,Bartosz Kapustka,7,Cracovia,1996-12-23
Poland,Łukasz Fabiański,30,Swansea City,1985-04-18
Poland,Filip Starzyński,3,Zagłębie Lubin,1991-05-27
Northern Ireland,Michael McGovern,11,Hamilton Academical,1984-07-12
Northern Ireland,Conor McLaughlin,18,Fleetwood Town,1991-07-26
Northern Ireland,Shane Ferguson,25,Millwall,1991-07-12
Northern Ireland,Gareth McAuley,61,West Bromwich Albion,1979-12-05
Northern Ireland,Jonny Evans,49,West Bromwich Albion,1988-01-03
Northern Ireland,Chris Baird,78,Fulham,1982-02-25
Northern Ireland,Niall McGinn,42,Aberdeen,1987-07-20
Northern Ireland,Steven Davis,83,Southampton,1985-01-01
Northern Ireland,Will Grigg,8,Wigan Athletic,1991-07-03
Northern Ireland,Kyle Lafferty,51,Birmingham City,1987-09-16
Northern Ireland,Conor Washington,4,Queens Park Rangers,1992-05-18
Northern Ireland,Roy Carroll,44,Notts County,1977-09-30
Northern Ireland,Corry Evans,34,Blackburn Rovers,1990-07-30
Northern Ireland,Stuart Dallas,13,Leeds United,1991-04-19
Northern Ireland,Luke McCullough,5,Doncaster Rovers,1994-02-15
Northern Ireland,Oliver Norwood,34,Reading,1991-04-12
Northern Ireland,Paddy McNair,9,Manchester United,1995-04-27
Northern Ireland,Aaron Hughes,100,Melbourne City,1979-11-08
Northern Ireland,Jamie Ward,22,Nottingham Forest,1986-05-12
Northern Ireland,Craig Cathcart,28,Watford,1989-02-06
Northern Ireland,Josh Magennis,19,Kilmarnock,1990-08-15
Northern Ireland,Lee Hodson,16,Milton Keynes Dons,1991-10-02
Northern Ireland,Alan Mannus,8,St Johnstone,1982-05-19
Spain,Iker Casillas,167,Porto,1981-05-20
Spain,César Azpilicueta,15,Chelsea,1989-08-28
Spain,Gerard Piqué,77,Barcelona,1987-02-02
Spain,Marc Bartra,10,Barcelona,1991-01-15
Spain,Sergio Busquets,84,Barcelona,1988-07-16
Spain,Andrés Iniesta,109,Barcelona,1984-05-11
Spain,Álvaro Morata,9,Juventus,1992-10-23
Spain,Koke,23,Atlético Madrid,1992-01-08
Spain,Lucas Vázquez,1,Real Madrid,1991-07-01
Spain,Cesc Fàbregas,106,Chelsea,1987-05-04
Spain,Pedro,58,Chelsea,1987-07-28
Spain,Héctor Bellerín,3,Arsenal,1995-03-19
Spain,David de Gea,9,Manchester United,1990-11-07
Spain,Thiago,10,Bayern Munich,1991-04-11
Spain,Sergio Ramos,132,Real Madrid,1986-03-30
Spain,Juanfran,18,Atlético Madrid,1985-01-09
Spain,Mikel San José,7,Athletic Bilbao,1989-05-30
Spain,Jordi Alba,43,Barcelona,1989-03-21
Spain,Bruno Soriano,8,Villarreal,1984-06-12
Spain,Aritz Aduriz,6,Athletic Bilbao,1981-02-11
Spain,David Silva,99,Manchester City,1986-01-08
Spain,Nolito,9,Celta Vigo,1986-10-15
Spain,Sergio Rico,1,Sevilla,1993-09-01
Czech Republic,Petr Čech,121,Arsenal,1982-05-20
Czech Republic,Pavel Kadeřábek,18,1899 Hoffenheim,1992-04-25
Czech Republic,Michal Kadlec,65,Fenerbahçe,1984-12-13
Czech Republic,Theodor Gebre Selassie,36,Werder Bremen,1986-12-24
Czech Republic,Roman Hubník,26,Viktoria Plzeň,1984-06-06
Czech Republic,Tomáš Sivok,55,Bursaspor,1983-09-15
Czech Republic,Tomáš Necid,39,Bursaspor,1989-08-13
Czech Republic,David Limberský,38,Viktoria Plzeň,1983-10-06
Czech Republic,Bořek Dočkal,24,Sparta Prague,1988-09-30
Czech Republic,Tomáš Rosický,103,Arsenal,1980-10-04
Czech Republic,Daniel Pudil,32,Sheffield Wednesday,1985-09-27
Czech Republic,Milan Škoda,9,Slavia Prague,1986-01-16
Czech Republic,Jaroslav Plašil,100,Bordeaux,1982-01-05
Czech Republic,Daniel Kolář,28,Viktoria Plzeň,1985-10-27
Czech Republic,David Pavelka,8,Kasımpaşa,1991-05-18
Czech Republic,Tomáš Vaclík,6,Basel,1989-03-29
Czech Republic,Marek Suchý,27,Basel,1988-03-29
Czech Republic,Josef Šural,11,Sparta Prague,1990-05-30
Czech Republic,Ladislav Krejčí,23,Sparta Prague,1992-07-05
Czech Republic,Jiří Skalák,10,Brighton & Hove Albion,1992-03-12
Czech Republic,David Lafata,39,Sparta Prague,1981-09-18
Czech Republic,Vladimír Darida,36,Hertha BSC,1990-08-08
Czech Republic,Tomáš Koubek,2,Slovan Liberec,1992-08-26
Turkey,Volkan Babacan,17,İstanbul Başakşehir,1988-08-12
Turkey,Semih Kaya,23,Galatasaray,1991-02-24
Turkey,Hakan Balta,46,Galatasaray,1983-03-23
Turkey,Ahmet Yılmaz Çalık,4,Gençlerbirliği,1994-02-26
Turkey,Nuri Şahin,49,Borussia Dortmund,1988-09-05
Turkey,Hakan Çalhanoğlu,19,Bayer Leverkusen,1994-02-08
Turkey,Gökhan Gönül,57,Fenerbahçe,1985-01-04
Turkey,Selçuk İnan,52,Galatasaray,1985-02-10
Turkey,Cenk Tosun,9,Beşiktaş,1991-06-07
Turkey,Arda Turan,91,Barcelona,1987-01-30
Turkey,Olcay Şahan,24,Beşiktaş,1987-05-26
Turkey,Onur Kıvrak,12,Trabzonspor,1988-01-01
Turkey,İsmail Köybaşı,19,Beşiktaş,1989-07-10
Turkey,Oğuzhan Özyakup,20,Beşiktaş,1992-09-23
Turkey,Mehmet Topal,59,Fenerbahçe,1986-03-03
Turkey,Ozan Tufan,24,Fenerbahçe,1995-03-23
Turkey,Burak Yılmaz,44,Beijing Guoan,1985-07-15
Turkey,Caner Erkin,47,Fenerbahçe,1988-10-04
Turkey,Yunus Mallı,6,Mainz 05,1992-02-24
Turkey,Volkan Şen,17,Fenerbahçe,1987-07-07
Turkey,Emre Mor,2,Nordsjælland,1997-07-24
Turkey,Şener Özbayraklı,8,Fenerbahçe,1990-01-23
Turkey,Harun Tekin,0,Bursaspor,1989-06-17
Croatia,Ivan Vargić,2,Rijeka,1987-03-15
Croatia,Šime Vrsaljko,19,Sassuolo,1992-01-10
Croatia,Ivan Strinić,35,Napoli,1987-07-17
Croatia,Ivan Perišić,47,Inter Milan,1989-02-02
Croatia,Vedran Ćorluka,88,Lokomotiv Moscow,1986-02-05
Croatia,Tin Jedvaj,3,Bayer Leverkusen,1995-11-28
Croatia,Ivan Rakitić,76,Barcelona,1988-03-10
Croatia,Mateo Kovačić,27,Real Madrid,1994-05-06
Croatia,Andrej Kramarić,11,1899 Hoffenheim,1991-06-19
Croatia,Luka Modrić,90,Real Madrid,1985-09-09
Croatia,Darijo Srna,130,Shakhtar Donetsk,1982-05-01
Croatia,Lovre Kalinić,4,Hajduk Split,1990-04-03
Croatia,Gordon Schildenfeld,27,Dinamo Zagreb,1985-03-18
Croatia,Marcelo Brozović,17,Inter Milan,1992-11-16
Croatia,Marko Rog,3,Dinamo Zagreb,1995-07-19
Croatia,Nikola Kalinić,29,Fiorentina,1988-01-05
Croatia,Mario Mandžukić,66,Juventus,1986-05-21
Croatia,Ante Ćorić,2,Dinamo Zagreb,1997-04-14
Croatia,Milan Badelj,20,Fiorentina,1989-02-25
Croatia,Marko Pjaca,8,Dinamo Zagreb,1995-05-06
Croatia,Domagoj Vida,38,Dynamo Kyiv,1989-04-29
Croatia,Duje Čop,4,Málaga,1990-02-01
Croatia,Danijel Subašić,21,Monaco,1984-10-27
Belgium,Thibaut Courtois,37,Chelsea,1992-05-11
Belgium,Toby Alderweireld,55,Tottenham Hotspur,1989-03-02
Belgium,Thomas Vermaelen,53,Barcelona,1985-11-14
Belgium,Radja Nainggolan,19,Roma,1988-05-04
Belgium,Jan Vertonghen,77,Tottenham Hotspur,1987-04-24
Belgium,Axel Witsel,67,Zenit Saint Petersburg,1989-01-12
Belgium,Kevin De Bruyne,39,Manchester City,1991-06-28
Belgium,Marouane Fellaini,68,Manchester United,1987-11-22
Belgium,Romelu Lukaku,44,Everton,1993-05-13
Belgium,Eden Hazard,65,Chelsea,1991-01-07
Belgium,Yannick Carrasco,4,Atlético Madrid,1993-09-04
Belgium,Simon Mignolet,16,Liverpool,1988-03-06
Belgium,Jean-François Gillet,9,Mechelen,1979-05-31
Belgium,Dries Mertens,45,Napoli,1987-05-06
Belgium,Jason Denayer,7,Galatasaray,1995-06-28
Belgium,Thomas Meunier,5,Club Brugge,1991-09-12
Belgium,Divock Origi,19,Liverpool,1995-04-18
Belgium,Christian Kabasele,0,Genk,1991-02-24
Belgium,Mousa Dembélé,65,Tottenham Hotspur,1987-07-16
Belgium,Christian Benteke,26,Liverpool,1990-12-03
Belgium,Jordan Lukaku,4,Oostende,1994-07-25
Belgium,Michy Batshuayi,5,Marseille,1993-10-02
Belgium,Laurent Ciman,11,Montreal Impact,1985-08-05
Italy,Gianluigi Buffon,157,Juventus,1978-01-28
Italy,Mattia De Sciglio,22,Milan,1992-10-20
Italy,Giorgio Chiellini,84,Juventus,1984-08-14
Italy,Matteo Darmian,22,Manchester United,1989-12-02
Italy,Angelo Ogbonna,11,West Ham United,1988-05-23
Italy,Antonio Candreva,38,Lazio,1987-02-28
Italy,Simone Zaza,11,Juventus,1991-06-25
Italy,Alessandro Florenzi,17,Roma,1991-03-11
Italy,Graziano Pellè,13,Southampton,1985-07-15
Italy,Thiago Motta,26,Paris Saint-Germain,1982-08-28
Italy,Ciro Immobile,13,Torino,1990-02-20
Italy,Salvatore Sirigu,16,Paris Saint-Germain,1987-01-12
Italy,Federico Marchetti,11,Lazio,1983-02-07
Italy,Stefano Sturaro,1,Juventus,1993-03-09
Italy,Andrea Barzagli,56,Juventus,1981-05-08
Italy,Daniele De Rossi,103,Roma,1983-07-24
Italy,Éder,10,Internazionale,1986-11-15
Italy,Marco Parolo,20,Lazio,1985-01-25
Italy,Leonardo Bonucci,57,Juventus,1987-05-01
Italy,Lorenzo Insigne,9,Napoli,1991-06-04
Italy,Federico Bernardeschi,4,Fiorentina,1994-02-16
Italy,Stephan El Shaarawy,19,Roma,1992-10-27
Italy,Emanuele Giaccherini,25,Bologna,1985-05-05
Republic of Ireland,Keiren Westwood,18,Sheffield Wednesday,1984-10-23
Republic of Ireland,Séamus Coleman,34,Everton,1988-10-11
Republic of Ireland,Ciaran Clark,17,Aston Villa,1989-09-26
Republic of Ireland,John O'Shea,111,Sunderland,1981-04-30
Republic of Ireland,Richard Keogh,12,Derby County,1986-08-11
Republic of Ireland,Glenn Whelan,71,Stoke City,1984-01-13
Republic of Ireland,Aiden McGeady,82,Sheffield Wednesday,1986-04-04
Republic of Ireland,James McCarthy,35,Everton,1990-11-12
Republic of Ireland,Shane Long,63,Southampton,1987-01-22
Republic of Ireland,Robbie Keane,143,LA Galaxy,1980-07-08
Republic of Ireland,James McClean,38,West Bromwich Albion,1989-04-22
Republic of Ireland,Shane Duffy,3,Blackburn Rovers,1992-01-01
Republic of Ireland,Jeff Hendrick,21,Derby County,1992-01-31
Republic of Ireland,Jonathan Walters,39,Stoke City,1983-09-20
Republic of Ireland,Cyrus Christie,5,Derby County,1992-09-30
Republic of Ireland,Shay Given,134,Stoke City,1976-04-20
Republic of Ireland,Stephen Ward,33,Burnley,1985-08-20
Republic of Ireland,David Meyler,16,Hull City,1989-05-29
Republic of Ireland,Robbie Brady,23,Norwich City,1992-01-14
Republic of Ireland,Wes Hoolahan,30,Norwich City,1982-05-20
Republic of Ireland,Daryl Murphy,20,Ipswich Town,1983-03-15
Republic of Ireland,Stephen Quinn,15,Reading,1986-04-04
Republic of Ireland,Darren Randolph,9,West Ham United,1987-05-12
Sweden,Andreas Isaksson,130,Kasımpaşa,1981-10-03
Sweden,Mikael Lustig,52,Celtic,1986-12-13
Sweden,Erik Johansson,9,Copenhagen,1988-12-30
Sweden,Andreas Granqvist,52,Krasnodar,1985-04-16
Sweden,Martin Olsson,35,Norwich City,1988-05-17
Sweden,Emil Forsberg,17,RB Leipzig,1991-10-23
Sweden,Sebastian Larsson,84,Sunderland,1985-06-06
Sweden,Albin Ekdal,22,Hamburger SV,1989-07-28
Sweden,Kim Källström,128,Grasshopper,1982-08-24
Sweden,Zlatan Ibrahimović,113,Paris Saint-Germain,1981-10-03
Sweden,Marcus Berg,38,Panathinaikos,1986-08-17
Sweden,Robin Olsen,4,Copenhagen,1990-01-08
Sweden,Pontus Jansson,8,Torino,1991-02-13
Sweden,Victor Lindelöf,3,Benfica,1994-07-17
Sweden,Oscar Hiljemark,10,Palermo,1992-06-28
Sweden,Pontus Wernbloom,51,CSKA Moscow,1986-06-25
