team,player,caps,club,birth
South Africa,Aubrey Modiba,44,Mamelodi Sundowns,1995-07-22
South Africa,Oswin Appollis,26,Orlando Pirates,2001-08-25
South Africa,Tshepang Moremi,10,Orlando Pirates,2000-10-02
South Africa,Lyle Foster,27,Burnley,2000-09-03
South Africa,Relebohile Mofokeng,13,Orlando Pirates,2004-10-23
South Africa,Themba Zwane,54,Mamelodi Sundowns,1989-08-03
South Africa,Thapelo Maseko,10,AEL Limassol,2003-11-11
South Africa,Sphephelo Sithole,28,Tondela,1999-03-03
South Africa,Mbekezeli Mbokazi,10,Chicago Fire FC,2005-09-19
South Africa,Iqraam Rayners,14,Mamelodi Sundowns,1995-12-19
South Africa,Sipho Chaine,4,Orlando Pirates,1996-12-14
South Africa,Evidence Makgopa,26,Orlando Pirates,2000-06-05
South Africa,Samukele Kabini,6,Molde,2004-03-15
South Africa,Nkosinathi Sibisi,20,Orlando Pirates,1995-09-22
South Africa,Khuliso Mudau,32,Mamelodi Sundowns,1995-04-26
South Africa,Ime Okon,8,Hannover 96,2004-02-20
South Africa,Ricardo Goss,5,Siwelele,1994-04-02
South Africa,Jayden Adams,5,Mamelodi Sundowns,2001-05-05
South Africa,Olwethu Makhanya,1,Philadelphia Union,2004-04-30
South Africa,Kamogelo Sebelebele,3,Orlando Pirates,2002-07-21
South Africa,Bradley Cross,1,Kaizer Chiefs,2001-01-30
South Korea,Kim Seung-gyu,87,FC Tokyo,1990-09-30
South Korea,Lee Han-beom,8,Midtjylland,2002-06-17
South Korea,Lee Gi-hyuk,3,Gangwon FC,2000-07-07
South Korea,Kim Min-jae,79,Bayern Munich,1996-11-15
South Korea,Kim Tae-hyeon,7,Kashima Antlers,2000-09-17
South Korea,Hwang In-beom,73,Feyenoord,1996-09-20
South Korea,Son Heung-min,144,Los Angeles FC,1992-07-08
South Korea,Paik Seung-ho,27,Birmingham City,1997-03-17
South Korea,Cho Gue-sung,44,Midtjylland,1998-01-25
South Korea,Lee Jae-sung,105,Mainz 05,1992-08-10
South Korea,Hwang Hee-chan,79,Wolverhampton Wanderers,1996-01-26
South Korea,Song Bum-keun,3,Jeonbuk Hyundai Motors,1997-10-15
South Korea,Lee Tae-seok,15,Austria Wien,2002-07-28
South Korea,Cho Wi-je,1,Jeonbuk Hyundai Motors,2001-08-25
South Korea,Kim Moon-hwan,35,Daejeon Hana Citizen,1995-08-01
South Korea,Park Jin-seob,14,Zhejiang,1995-10-23
South Korea,Bae Jun-ho,13,Stoke City,2003-08-21
South Korea,Oh Hyeon-gyu,27,Beşiktaş,2001-04-12
South Korea,Lee Kang-in,47,Paris Saint-Germain,2001-02-19
South Korea,Yang Hyun-jun,9,Celtic,2002-05-25
South Korea,Jo Hyeon-woo,48,Ulsan HD,1991-09-25
South Korea,Seol Young-woo,34,Red Star Belgrade,1998-12-05
South Korea,Jens Castrop,7,Borussia Mönchengladbach,2003-07-29
South Korea,Kim Jin-gyu,22,Jeonbuk Hyundai Motors,1997-02-24
South Korea,Eom Ji-sung,9,Swansea City,2002-05-09
South Korea,Lee Dong-gyeong,18,Ulsan HD,1997-09-20
Bosnia and Herzegovina,Nikola Vasilj,26,FC St. Pauli,1995-12-02
Bosnia and Herzegovina,Nihad Mujakić,12,Gaziantep,1998-04-15
Bosnia and Herzegovina,Dennis Hadžikadunić,32,Sampdoria,1998-07-09
Bosnia and Herzegovina,Tarik Muharemović,14,Sassuolo,2003-02-28
Bosnia and Herzegovina,Sead Kolašinac,65,Atalanta,1993-06-20
Bosnia and Herzegovina,Benjamin Tahirović,28,Brøndby,2003-03-03
Bosnia and Herzegovina,Amar Dedić,28,Benfica,2002-08-18
Bosnia and Herzegovina,Armin Gigović,20,Young Boys,2002-04-06
Bosnia and Herzegovina,Samed Baždar,13,Jagiellonia Białystok,2004-01-31
Bosnia and Herzegovina,Ermedin Demirović,40,VfB Stuttgart,1998-03-25
Bosnia and Herzegovina,Edin Džeko,148,Schalke 04,1986-03-17
Bosnia and Herzegovina,Mladen Jurkas,0,Borac Banja Luka,2007-10-07
Bosnia and Herzegovina,Ivan Bašić,17,Astana,2002-04-30
Bosnia and Herzegovina,Ivan Šunjić,11,Pafos,1996-10-09
Bosnia and Herzegovina,Amar Memić,13,Viktoria Plzeň,2001-01-20
Bosnia and Herzegovina,Amir Hadžiahmetović,36,Hull City,1997-03-08
Bosnia and Herzegovina,Dženis Burnić,20,Karlsruher SC,1998-05-22
Bosnia and Herzegovina,Nikola Katić,17,Schalke 04,1996-10-10
Bosnia and Herzegovina,Kerim Alajbegović,10,Red Bull Salzburg,2007-09-21
Bosnia and Herzegovina,Esmir Bajraktarević,16,PSV Eindhoven,2005-03-10
Bosnia and Herzegovina,Stjepan Radeljić,5,Rijeka,1997-09-05
Bosnia and Herzegovina,Martin Zlomislić,3,Rijeka,1998-08-16
Bosnia and Herzegovina,Haris Tabaković,10,Borussia Mönchengladbach,1994-06-20
Bosnia and Herzegovina,Arjan Malić,8,Sturm Graz,2005-08-28
Bosnia and Herzegovina,Jovo Lukić,3,Universitatea Cluj,1998-11-28
Bosnia and Herzegovina,Ermin Mahmić,2,Slovan Liberec,2005-03-14
Canada,Dayne St. Clair,20,Inter Miami CF,1997-05-09
Canada,Alistair Johnston,58,Celtic,1998-10-08
Canada,Alfie Jones,2,Middlesbrough,1997-10-07
Canada,Luc de Fougerolles,13,Dender,2005-10-12
Canada,Joel Waterman,17,Chicago Fire FC,1996-01-24
Canada,Mathieu Choinière,23,Los Angeles FC,1999-02-07
Canada,Stephen Eustáquio,56,Los Angeles FC,1996-12-21
Canada,Ismaël Koné,40,Sassuolo,2002-06-16
Canada,Cyle Larin,90,Southampton,1995-04-17
Canada,Jonathan David,77,Juventus,2000-01-14
Canada,Liam Millar,41,Hull City,1999-09-27
Canada,Tani Oluwaseyi,24,Villarreal,2000-05-15
Canada,Derek Cornelius,44,Rangers,1997-11-25
Canada,Jacob Shaffelburg,31,Los Angeles FC,1999-11-26
Canada,Moïse Bombito,20,Nice,2000-03-30
Canada,Maxime Crépeau,32,Orlando City SC,1994-05-11
Canada,Tajon Buchanan,60,Villarreal,1999-02-08
Canada,Owen Goodman,0,Barnsley,2003-11-27
Canada,Alphonso Davies,58,Bayern Munich,2000-11-02
Canada,Ali Ahmed,24,Norwich City,2000-10-10
Canada,Jonathan Osorio,90,Toronto FC,1992-06-12
Canada,Richie Laryea,75,Toronto FC,1995-01-07
Canada,Niko Sigur,19,Hajduk Split,2003-09-09
Canada,Promise David,10,Union Saint-Gilloise,2001-07-03
Canada,Nathan Saliba,15,Anderlecht,2004-02-07
Canada,Jayden Nelson,14,Austin FC,2002-09-26
Qatar,Mahmud Abunada,5,Al-Rayyan,2000-02-05
Qatar,Pedro Miguel,99,Al-Sadd,1990-08-06
Qatar,Lucas Mendes,25,Al-Wakrah,1990-07-03
Qatar,Issa Laye,4,Al-Arabi,1997-12-22
Qatar,Jassem Gaber,32,Al-Rayyan,2002-02-20
Qatar,Abdulaziz Hatem,117,Al-Rayyan,1990-01-01
Qatar,Ahmed Alaaeldin,68,Al-Rayyan,1993-01-31
Qatar,Edmilson Junior,16,Al-Duhail,1994-08-19
Qatar,Mohammed Muntari,67,Al-Gharafa,1993-12-20
Qatar,Hassan Al-Haydos,186,Al-Sadd,1990-12-11
Qatar,Akram Afif,125,Al-Sadd,1996-11-18
Qatar,Karim Boudiaf,118,Al-Duhail,1990-09-16
Qatar,Ayoub Al-Oui,6,Al-Gharafa,2005-03-11
Qatar,Homam Ahmed,68,Cultural Leonesa,1999-08-25
Qatar,Yusuf Abdurisag,39,Al-Wakrah,1999-08-06
Qatar,Boualem Khoukhi,116,Al-Sadd,1990-07-09
Qatar,Ahmed Al-Ganehi,13,Al-Gharafa,2000-09-22
Qatar,Sultan Al-Brake,17,Al-Duhail,1996-04-07
Qatar,Almoez Ali,115,Al-Duhail,1996-08-19
Qatar,Ahmed Fathy,48,Al-Arabi,1993-01-25
Qatar,Salah Zakaria,8,Al-Duhail,1999-04-24
Qatar,Meshaal Barsham,52,Al-Sadd,1998-02-14
Qatar,Assim Madibo,51,Al-Wakrah,1996-10-22
Qatar,Tahsin Jamshid,3,Al-Duhail,2006-06-16
Qatar,Al-Hashmi Al-Hussain,8,Al-Arabi,2003-08-15
Qatar,Mohamed Manai,10,Al-Shamal,2002-10-25
Switzerland,Gregor Kobel,21,Borussia Dortmund,1997-12-06
Switzerland,Miro Muheim,10,Hamburger SV,1998-03-24
Switzerland,Silvan Widmer,60,Mainz 05,1993-03-05
Switzerland,Nico Elvedi,67,Borussia Mönchengladbach,1996-09-30
Switzerland,Manuel Akanji,81,Inter Milan,1995-07-19
Switzerland,Denis Zakaria,65,Monaco,1996-11-20
Switzerland,Breel Embolo,86,Rennes,1997-02-14
Switzerland,Remo Freuler,88,Bologna,1992-04-15
Switzerland,Johan Manzambi,12,SC Freiburg,2005-10-14
Switzerland,Granit Xhaka,146,Sunderland,1992-09-27
Switzerland,Dan Ndoye,31,Nottingham Forest,2000-10-25
Switzerland,Yvon Mvogo,13,Lorient,1994-06-06
Switzerland,Ricardo Rodriguez,138,Real Betis,1992-08-25
Switzerland,Ardon Jashari,8,Milan,2002-07-30
Switzerland,Djibril Sow,52,Sevilla,1997-02-06
Switzerland,Christian Fassnacht,23,Young Boys,1993-11-11
Switzerland,Rubén Vargas,61,Sevilla,1998-08-05
Switzerland,Eray Cömert,22,Valencia,1998-02-04
Switzerland,Noah Okafor,25,Leeds United,2000-05-24
Switzerland,Michel Aebischer,40,Pisa,1997-01-06
Switzerland,Marvin Keller,1,Young Boys,2002-07-03
Switzerland,Fabian Rieder,28,FC Augsburg,2002-02-16
Switzerland,Zeki Amdouni,29,Burnley,2000-12-04
Switzerland,Aurèle Amenda,7,Eintracht Frankfurt,2003-07-31
Switzerland,Luca Jaquez,3,VfB Stuttgart,2003-06-02
Switzerland,Cedric Itten,15,Fortuna Düsseldorf,1996-12-27
Brazil,Alisson,78,Liverpool,1992-10-02
Brazil,Éderson Silva,3,Atalanta,1999-07-07
Brazil,Gabriel Magalhães,17,Arsenal,1997-12-19
Brazil,Marquinhos,105,Paris Saint-Germain,1994-05-14
Brazil,Casemiro,86,Manchester United,1992-02-23
Brazil,Alex Sandro,45,Flamengo,1991-01-26
Brazil,Vinícius Júnior,49,Real Madrid,2000-07-12
Brazil,Bruno Guimarães,43,Newcastle United,1997-11-16
Brazil,Matheus Cunha,23,Manchester United,1999-05-27
Brazil,Neymar,128,Santos,1992-02-05
Brazil,Raphinha,39,Barcelona,1996-12-14
Brazil,Weverton,11,Grêmio,1987-12-13
Brazil,Danilo Luiz,70,Flamengo,1991-07-15
Brazil,Bremer,8,Juventus,1997-03-18
Brazil,Léo Pereira,4,Flamengo,1996-01-31
Brazil,Douglas Santos,7,Zenit Saint Petersburg,1994-03-22
Brazil,Fabinho,33,Al-Ittihad,1993-10-23
Brazil,Danilo Santos,4,Botafogo,2001-04-29
Brazil,Endrick,17,Lyon,2006-07-21
Brazil,Lucas Paquetá,63,Flamengo,1997-08-27
Brazil,Luiz Henrique,15,Zenit Saint Petersburg,2001-01-02
Brazil,Gabriel Martinelli,23,Arsenal,2001-06-18
Brazil,Ederson Moraes,32,Fenerbahçe,1993-08-17
Brazil,Roger Ibañez,7,Al-Ahli,1998-11-23
Brazil,Igor Thiago,4,Brentford,2001-06-26
Brazil,Rayan,2,Bournemouth,2006-08-03
Haiti,Johny Placide,82,Bastia,1988-01-29
Haiti,Carlens Arcus,56,Angers,1996-06-28
Haiti,Keeto Thermoncy,1,Young Boys,2006-03-29
Haiti,Ricardo Adé,59,LDU Quito,1990-05-21
Haiti,Hannes Delcroix,7,Lugano,1999-02-28
Haiti,Carl Sainté,26,El Paso Locomotive FC,2002-08-09
Haiti,Derrick Etienne Jr.,51,Toronto FC,1996-11-25
Haiti,Martin Expérience,21,Nancy,1999-03-09
Haiti,Duckens Nazon,82,Esteghlal,1994-04-07
Haiti,Jean-Ricner Bellegarde,10,Wolverhampton Wanderers,1998-06-27
Haiti,Louicius Deedson,32,FC Dallas,2001-02-11
Haiti,Alexandre Pierre,16,Sochaux,2001-02-25
Haiti,Duke Lacroix,16,Colorado Springs Switchbacks FC,1993-10-14
Haiti,Garven Metusala,16,Colorado Springs Switchbacks FC,1999-12-31
Haiti,Ruben Providence,15,Almere City,2001-07-07
Haiti,Lenny Joseph,2,Ferencváros,2000-10-12
Haiti,Danley Jean Jacques,31,Philadelphia Union,2000-05-20
Haiti,Wilson Isidor,4,Sunderland,2000-08-27
Haiti,Yassin Fortuné,4,Vizela,1999-01-30
Haiti,Frantzdy Pierrot,51,Çaykur Rizespor,1995-03-29
Haiti,Josué Casimir,7,Auxerre,2001-09-24
Haiti,Jean-Kévin Duverne,17,Gent,1997-07-12
Haiti,Josué Duverger,7,Cosmos Koblenz,2000-04-27
Haiti,Wilguens Paugain,8,Zulte Waregem,2001-08-24
Haiti,Dominique Simon,2,Tatran Prešov,2000-07-29
Haiti,Woodensky Pierre,1,Violette,2004-12-30
Morocco,Yassine Bounou,90,Al-Hilal,1991-04-05
Morocco,Achraf Hakimi,96,Paris Saint-Germain,1998-11-04
Morocco,Noussair Mazraoui,45,Manchester United,1997-11-14
Morocco,Sofyan Amrabat,75,Real Betis,1996-08-21
Morocco,Marwane Saâdane,8,Al-Fateh,1992-01-17
Morocco,Ayyoub Bouaddi,3,Lille,2007-10-02
Morocco,Chemsdine Talbi,5,Sunderland,2005-05-09
Morocco,Azzedine Ounahi,49,Girona,2000-04-19
Morocco,Soufiane Rahimi,37,Al Ain,1996-06-02
Morocco,Brahim Díaz,26,Real Madrid,1999-08-03
Morocco,Ismael Saibari,31,PSV Eindhoven,2001-01-28
Morocco,Munir Mohamedi,53,RS Berkane,1989-05-10
Morocco,Zakaria El Ouahdi,3,Genk,2001-12-31
Morocco,Issa Diop,4,Fulham,1997-01-09
Morocco,Samir El Mourabet,4,Strasbourg,2005-10-06
Morocco,Gessime Yassine,5,Strasbourg,2005-11-22
Morocco,Amine Sbaï,2,Angers,2000-11-05
Morocco,Chadi Riad,6,Crystal Palace,2003-06-17
Morocco,Youssef Belammari,19,Al Ahly,1998-09-20
Morocco,Ayoub El Kaabi,71,Olympiacos,1993-06-25
Morocco,Ayoube Amaimouni,2,Eintracht Frankfurt,2004-11-30
Morocco,Ahmed Reda Tagnaouti,3,AS FAR,1996-04-05
Morocco,Bilal El Khannouss,37,VfB Stuttgart,2004-05-10
Morocco,Neil El Aynaoui,16,Roma,2001-07-02
Morocco,Redouane Halhal,3,Mechelen,2003-03-05
Morocco,Anass Salah-Eddine,9,PSV Eindhoven,2002-01-18
Scotland,Angus Gunn,22,Nottingham Forest,1996-01-22
Scotland,Aaron Hickey,21,Brentford,2002-06-10
Scotland,Andy Robertson,94,Liverpool,1994-03-11
Scotland,Scott McTominay,70,Napoli,1996-12-08
Scotland,Grant Hanley,68,Hibernian,1991-11-20
Scotland,Kieran Tierney,56,Celtic,1997-06-05
Scotland,John McGinn,86,Aston Villa,1994-10-18
Scotland,Tyler Fletcher,2,Manchester United,2007-03-19
Scotland,Lyndon Dykes,51,Charlton Athletic,1995-10-07
Scotland,Ché Adams,47,Torino,1996-07-13
Scotland,Ryan Christie,68,Bournemouth,1995-02-22
Scotland,Liam Kelly,3,Rangers,1996-01-23
Scotland,Jack Hendry,38,Al-Ettifaq,1995-05-07
Scotland,Ross Stewart,3,Southampton,1996-07-11
Scotland,John Souttar,24,Rangers,1996-09-25
Scotland,Dominic Hyam,4,Wrexham,1995-12-20
Scotland,Ben Gannon-Doak,14,Bournemouth,2005-11-11
Scotland,George Hirst,10,Ipswich Town,1999-02-15
Scotland,Lewis Ferguson,24,Bologna,1999-08-24
Scotland,Lawrence Shankland,20,Heart of Midlothian,1995-08-10
Scotland,Craig Gordon,84,Heart of Midlothian,1982-12-31
Scotland,Nathan Patterson,26,Everton,2001-10-16
Scotland,Kenny McLean,58,Norwich City,1992-01-08
Scotland,Anthony Ralston,27,Celtic,1998-11-16
Scotland,Findlay Curtis,3,Kilmarnock,2006-06-09
Scotland,Scott McKenna,50,Dinamo Zagreb,1996-11-12
Australia,Mathew Ryan,104,Levante,1992-04-08
Australia,Miloš Degenek,57,APOEL,1994-04-28
Australia,Alessandro Circati,13,Parma,2003-10-10
Australia,Jacob Italiano,5,Grazer AK,2001-07-30
Australia,Jordan Bos,27,Feyenoord,2002-10-29
Australia,Jason Geria,14,Albirex Niigata,1993-05-10
Australia,Mathew Leckie,80,Melbourne City,1991-02-04
Australia,Connor Metcalfe,36,FC St. Pauli,1999-11-05
Australia,Mohamed Touré,10,Norwich City,2004-03-26
Australia,Ajdin Hrustic,37,Heracles Almelo,1996-07-05
Australia,Awer Mabil,38,Castellón,1995-09-15
Australia,Paul Izzo,4,Randers,1995-01-06
Australia,Aiden O'Neill,31,New York City FC,1998-07-04
Australia,Cammy Devlin,5,Heart of Midlothian,1998-06-07
Australia,Kai Trewin,6,New York City FC,2001-05-18
Australia,Aziz Behich,84,Melbourne City,1990-12-16
Australia,Nestory Irankunda,15,Watford,2006-02-09
Australia,Patrick Beach,2,Melbourne City,2003-08-06
Australia,Harry Souttar,38,Leicester City,1998-10-22
Australia,Cristian Volpato,1,Sassuolo,2003-11-15
Australia,Cameron Burgess,27,Swansea City,1995-10-21
Australia,Jackson Irvine,82,FC St. Pauli,1993-03-07
Australia,Nishan Velupillay,7,Melbourne Victory,2001-05-07
Australia,Paul Okon-Engstler,6,Sydney FC,2005-01-24
Australia,Lucas Herrington,4,Colorado Rapids,2007-09-05
Australia,Tete Yengi,1,Machida Zelvia,2000-11-28
Paraguay,Gatito Fernández,31,Cerro Porteño,1988-03-29
Paraguay,Gustavo Velázquez,13,Cerro Porteño,1991-04-17
Paraguay,Omar Alderete,36,Sunderland,1996-12-26
Paraguay,Juan José Cáceres,17,Dynamo Moscow,2000-06-01
Paraguay,Fabián Balbuena,48,Grêmio,1991-08-23
Paraguay,Júnior Alonso,71,Atlético Mineiro,1993-02-09
Paraguay,Ramón Sosa,29,Palmeiras,1999-08-31
Paraguay,Diego Gómez,24,Brighton & Hove Albion,2003-03-27
Paraguay,Antonio Sanabria,48,Cremonese,1996-03-04
Paraguay,Miguel Almirón,76,Atlanta United FC,1994-02-10
Paraguay,Maurício,3,Palmeiras,2001-06-22
Paraguay,Orlando Gill,6,San Lorenzo,2000-06-11
Paraguay,José Canale,2,Lanús,1996-07-20
Paraguay,Andrés Cubas,33,Vancouver Whitecaps FC,1996-05-11
Paraguay,Gustavo Gómez,89,Palmeiras,1993-05-06
Paraguay,Damián Bobadilla,19,São Paulo,2001-07-11
Paraguay,Kaku,33,Al Ain,1995-01-11
Paraguay,Álex Arce,15,Independiente Rivadavia,1995-06-16
Paraguay,Julio Enciso,32,Strasbourg,2004-01-23
Paraguay,Braian Ojeda,17,Orlando City SC,2000-06-27
Paraguay,Gabriel Ávalos,23,Independiente,1991-07-09
Paraguay,Gastón Olveira,1,Olimpia,1993-04-21
Paraguay,Matías Galarza,15,Atlanta United FC,2002-02-11
Paraguay,Gustavo Caballero,2,Portsmouth,2001-09-21
Paraguay,Isidro Pitta,5,Red Bull Bragantino,1999-08-14
Paraguay,Alexandro Maidana,2,Talleres,2005-07-26
Turkey,Mert Günok,37,Fenerbahçe,1989-03-01
Turkey,Zeki Çelik,61,Roma,1997-02-17
Turkey,Merih Demiral,62,Al-Ahli,1998-03-05
Turkey,Çağlar Söyüncü,60,Fenerbahçe,1996-05-23
Turkey,Salih Özcan,30,Borussia Dortmund,1998-01-11
Turkey,Orkun Kökçü,50,Beşiktaş,2000-12-29
Turkey,Kerem Aktürkoğlu,52,Fenerbahçe,1998-10-21
Turkey,Arda Güler,29,Real Madrid,2005-02-25
Turkey,Deniz Gül,8,Porto,2004-07-02
Turkey,Hakan Çalhanoğlu,105,Inter Milan,1994-02-08
Turkey,Kenan Yıldız,28,Juventus,2005-05-04
Turkey,Altay Bayındır,12,Manchester United,1998-04-14
Turkey,Eren Elmalı,23,Galatasaray,2000-07-07
Turkey,Abdülkerim Bardakcı,27,Galatasaray,1994-09-07
Turkey,Ozan Kabak,30,TSG Hoffenheim,2000-03-25
Turkey,İsmail Yüksek,32,Fenerbahçe,1999-01-26
Turkey,İrfan Can Kahveci,47,Kasımpaşa,1995-07-15
Turkey,Mert Müldür,45,Fenerbahçe,1999-04-03
Turkey,Yunus Akgün,19,Galatasaray,2000-07-07
Turkey,Ferdi Kadıoğlu,30,Brighton & Hove Albion,1999-10-07
Turkey,Barış Alper Yılmaz,35,Galatasaray,2000-05-23
Turkey,Kaan Ayhan,73,Galatasaray,1994-11-10
Turkey,Uğurcan Çakır,39,Galatasaray,1996-04-05
Turkey,Oğuz Aydın,11,Fenerbahçe,2000-10-27
Turkey,Samet Akaydin,19,Çaykur Rizespor,1994-03-13
Turkey,Can Uzun,6,Eintracht Frankfurt,2005-11-11
United States,Matt Turner,54,New England Revolution,1994-06-24
United States,Sergiño Dest,39,PSV Eindhoven,2000-11-03
United States,Chris Richards,36,Crystal Palace,2000-03-28
United States,Tyler Adams,54,Bournemouth,1999-02-14
United States,Antonee Robinson,54,Fulham,1997-08-08
United States,Auston Trusty,8,Celtic,1998-08-12
United States,Giovanni Reyna,38,Borussia Mönchengladbach,2002-11-13
United States,Weston McKennie,66,Juventus,1998-08-28
United States,Ricardo Pepi,37,PSV Eindhoven,2003-01-09
United States,Christian Pulisic,86,Milan,1998-09-18
United States,Brenden Aaronson,58,Leeds United,2000-10-22
United States,Miles Robinson,40,FC Cincinnati,1997-03-14
United States,Tim Ream,82,Charlotte FC,1987-10-05
United States,Sebastian Berhalter,13,Vancouver Whitecaps FC,2001-05-10
United States,Cristian Roldan,47,Seattle Sounders FC,1995-06-03
United States,Alex Freeman,17,Villarreal,2004-08-09
United States,Malik Tillman,30,Bayer Leverkusen,2002-05-28
United States,Max Arfsten,20,Columbus Crew,2001-04-19
United States,Haji Wright,20,Coventry City,1998-03-27
United States,Folarin Balogun,27,Monaco,2001-07-03
United States,Timothy Weah,51,Marseille,2000-02-22
United States,Mark McKenzie,29,Toulouse,1999-02-25
United States,Joe Scally,26,Borussia Mönchengladbach,2002-12-31
United States,Matt Freese,15,New York City FC,1998-09-02
United States,Chris Brady,1,Chicago Fire FC,2004-03-03
United States,Alejandro Zendejas,14,América,1998-02-07
Curaçao,Eloy Room,71,Miami FC,1989-02-06
Curaçao,Shurandy Sambo,8,Sparta Rotterdam,2001-08-19
Curaçao,Juriën Gaari,60,Abha,1993-12-23
Curaçao,Roshon van Eijma,28,RKC Waalwijk,1998-06-09
Curaçao,Sherel Floranus,28,PEC Zwolle,1998-08-23
Curaçao,Godfried Roemeratoe,28,RKC Waalwijk,1999-08-19
Curaçao,Juninho Bacuna,49,Volendam,1997-08-07
Curaçao,Livano Comenencia,20,Zürich,2004-02-03
Curaçao,Jürgen Locadia,13,Miami FC,1993-11-07
Curaçao,Leandro Bacuna,72,Iğdır,1991-08-21
Curaçao,Jeremy Antonisse,27,Kifisia,2002-03-29
Curaçao,Sontje Hansen,6,Middlesbrough,2002-05-18
Curaçao,Tyrese Noslin,7,Telstar,2002-09-11
Curaçao,Kenji Gorré,38,Maccabi Haifa,1994-09-29
Curaçao,Ar'jany Martha,9,Rotherham United,2003-09-04
Curaçao,Jearl Margaritha,22,Beveren,2000-04-10
Curaçao,Brandley Kuwas,35,Volendam,1992-09-19
Curaçao,Armando Obispo,6,PSV Eindhoven,1999-03-05
Curaçao,Gervane Kastaneer,29,Terengganu,1996-06-09
Curaçao,Joshua Brenet,18,Kayserispor,1994-03-20
Curaçao,Tahith Chong,6,Sheffield United,1999-12-04
Curaçao,Kevin Felida,19,Den Bosch,1999-11-11
Curaçao,Riechedly Bazoer,5,Konyaspor,1996-10-12
Curaçao,Deveron Fonville,2,NEC,2003-05-16
Curaçao,Tyrick Bodak,4,Telstar,2002-05-15
Curaçao,Trevor Doornbusch,8,VVV-Venlo,1999-07-06
Ecuador,Hernán Galíndez,35,Huracán,1987-03-30
Ecuador,Félix Torres,49,Internacional,1997-01-11
