player,nation,minutes,goals,npg,npxg,age
Amadou Diawara,GUI,655,1,1,,20
Amath,SEN,2859,3,3,,21
Amato Ciciretti,ITA,807,2,2,,23
Ambroise Oyongo,CMR,201,0,0,,26
Amine Gouiri,ALG,83,0,0,,17
Amine Harit,MAR,2043,3,2,,20
Amir Abrashi,ALB,850,0,0,,27
Anaitz Arbilla,ESP,2414,2,2,,30
Anas Ouahim,GER,19,0,0,,19
Anastasios Donis,GRE,949,2,2,,20
Ander Capa,ESP,2249,0,0,,25
Ander Herrera,ESP,1268,0,0,,27
Ander Iturraspe,ESP,1904,0,0,,28
Andoni Gorosabel,ESP,76,0,0,,20
Andoni López,ESP,90,0,0,,21
Andre Gray,JAM,1498,5,5,,26
Andre-Frank Zambo Anguissa,CMR,2439,0,0,,21
Andrea Barberis,ITA,3029,2,2,,23
Andrea Barzagli,ITA,1447,0,0,,36
Andrea Belotti,ITA,2683,10,10,,23
Andrea Bertolacci,ITA,2895,1,1,,26
Andrea Consigli,ITA,3316,0,0,,30
Andrea Conti,ITA,157,0,0,,23
Andrea Cossu,ITA,243,0,0,,37
Andrea Costa,ITA,1375,0,0,,31
Andrea Danzi,ITA,393,0,0,,18
Andrea Masiello,ITA,2707,4,4,,31
Andrea Nalini,ITA,1638,0,0,,27
Andrea Petagna,ITA,1618,4,4,,22
Andrea Pinamonti,ITA,14,0,0,,18
Andrea Poli,ITA,2543,2,2,,27
Andrea Raggi,ITA,1607,1,1,,33
Andrea Ranocchia,ITA,627,2,2,,29
Andreas Beck,GER,1927,1,1,,30
Andreas Christensen,DEN,2086,0,0,,21
Andreas Cornelius,DEN,934,3,3,,24
Andreas Luthe,GER,180,0,0,,30
Andreas Pereira,BRA,1078,1,1,,21
Andrei Girotto,BRA,1520,1,1,,25
Andrej Kramarić,CRO,2228,13,11,,26
Andreu Fontàs,ESP,885,0,0,,27
Andrew Gravillon,GLP,82,0,0,,19
Andrew Hjulsager,DEN,14,0,0,,22
Andrew Robertson,SCO,1940,1,1,,23
Andrew Surman,ENG,1856,2,2,,30
Andrey Galabinov,BUL,1129,3,2,,28
Andrija Balić,CRO,1083,0,0,,19
Andriy Yarmolenko,UKR,1039,3,3,,27
Andros Townsend,ENG,3120,2,2,,26
André Ayew,GHA,1845,3,3,,27
André Carrillo,PER,1540,1,1,,26
André Gomes,POR,635,0,0,,24
André Hahn,GER,1358,3,3,,26
André Ramalho,BRA,34,0,0,,25
André Schürrle,GER,1236,1,1,,26
André Silva,POR,940,2,2,,21
Andrés Fernández,ESP,225,0,0,,30
Andrés Guardado,MEX,2264,2,1,,30
Andrés Iniesta,ESP,1824,1,1,,33
Andrés Prieto,ESP,360,0,0,,23
Andy Carroll,ENG,750,3,3,,28
Andy Delort,ALG,2333,5,4,,25
Andy King,WAL,1252,3,3,,28
Angelo Fulgini,FRA,1529,3,3,,20
Angelo Ogbonna,ITA,2880,1,1,,29
Angelo da Costa Júnior,BRA,360,0,0,,33
Ante Budimir,CRO,1588,6,6,,26
Ante Rebić,CRO,1751,6,6,,23
Anthony Gonçalves,FRA,1757,0,0,,31
Anthony Knockaert,FRA,2421,3,3,,25
Anthony Lopes,POR,3060,0,0,,26
Anthony Lozano,HON,471,1,1,,24
Anthony Martial,FRA,1582,9,8,,21
Anthony Ujah,NGA,205,0,0,,26
Anthony Walongwa,,90,0,0,,23
Anto Grgić,SUI,7,0,0,,20
Antoine Griezmann,FRA,2519,19,17,,26
Antonino Ragusa,ITA,825,0,0,,27
Antonio Adán,ESP,2700,0,0,,30
Antonio Barragán,ESP,2373,0,0,,30
Antonio Barreca,ITA,468,0,0,,22
Antonio Candreva,ITA,2537,0,0,,30
Antonio Caracciolo,ITA,2857,2,2,,27
Antonio Luna,ESP,2021,0,0,,26
Antonio Mirante,ITA,2970,0,0,,34
Antonio Rukavina,SRB,1272,0,0,,33
Antonio Rüdiger,GER,2338,2,2,,24
Antonio Sanabria,PAR,853,8,8,,21
Antonio Santurro,DOM,90,0,0,,25
Antonio Sivera,ESP,62,0,0,,20
Antonio Valencia,ECU,2740,3,3,,31
Antonín Barák,CZE,2713,7,7,,22
Anwar El Ghazi,NED,1648,4,4,,22
Aristóteles Romero,VEN,86,0,0,,21
Aritz Aduriz,ESP,2152,9,6,,36
Aritz Elustondo,ESP,1596,3,3,,23
Arjen Robben,NED,1507,5,5,,33
Arkadiusz Milik,POL,448,5,5,,23
Arlind Ajeti,ALB,1271,0,0,,23
Armando Izzo,ITA,1387,1,1,,25
Armando Sadiku,ALB,267,0,0,,26
Arnaud Lusamba,COD,162,0,0,,20
Arnaud Souquet,FRA,2415,0,0,,25
Arne Maier,GER,1223,0,0,,18
Arnold Bouka Moutou,CGO,336,0,0,,28
Aron Jóhannsson,USA,276,1,1,,26
Arona Sané,SEN,65,0,0,,22
Arthur Masuaku,COD,1870,0,0,,23
Artur Ioniță,MDA,2669,0,0,,26
Arturo Vidal,CHI,1456,6,6,,30
Ashley Barnes,ENG,2165,9,9,,27
Ashley Westwood,ENG,1111,0,0,,27
Ashley Williams,WAL,1834,1,1,,32
Ashley Young,ENG,2442,2,2,,32
Asier Illarramendi,ESP,3163,7,7,,27
Asier Riesgo,ESP,90,0,0,,33
Asmir Begović,BIH,3420,0,0,,30
Assane Dioussé,SEN,1344,1,1,,19
Augusto Fernández,ARG,107,0,0,,31
Axel Tuanzebe,COD,1,0,0,,19
Axel Werner,ARG,90,0,0,,21
Aymen Abdennour,TUN,499,0,0,,27
Aymen Barkok,MAR,314,0,0,,19
Aymeric Laporte,ESP,2516,0,0,,23
Ayoze Pérez,ESP,2492,8,8,,24
Aythami Artiles,ESP,184,0,0,,31
Aïssa Mandi,ALG,3024,1,1,,25
Baba Rahman,GHA,34,0,0,,23
Babis Lykogiannis,GRE,687,0,0,,23
Bacary Sagna,FRA,957,1,1,,34
Badou Ndiaye,SEN,1138,2,2,,26
Baissama Sankoh,GUI,1540,0,0,,25
Bakary Koné,BFA,2462,2,2,,29
Bakary Sako,MLI,478,3,3,,29
Bakaye Dibassy,MLI,2778,1,1,,27
Bakery Jatta,GAM,297,0,0,,19
Baptiste Guillaume,BEL,458,1,1,,22
Baptiste Reynet,FRA,3420,0,0,,26
Baptiste Santamaria,FRA,2591,0,0,,22
Barri,ESP,113,0,0,,21
Bartosz Bereszyński,POL,2480,0,0,,25
Bartosz Kapustka,POL,235,1,1,,20
Bartosz Salamon,POL,1725,0,0,,26
Bartłomiej Drągowski,POL,217,0,0,,19
Bassem Srarfi,TUN,870,3,3,,20
Bastian Oczipka,GER,2320,0,0,,28
Bastos,ANG,1407,4,4,,26
Bebé,CPV,365,0,0,,27
Ben Chilwell,ENG,1853,0,0,,20
Ben Davies,WAL,2324,2,2,,24
Ben Foster,ENG,3330,0,0,,34
Ben Hamer,ENG,275,0,0,,29
Ben Mee,ENG,2610,0,0,,27
Ben Watson,ENG,456,0,0,,32
Ben Woodburn,WAL,7,0,0,,17
Benedikt Höwedes,GER,247,1,1,,29
Beni Baningime,COD,198,0,0,,18
Benik Afobe,COD,611,0,0,,24
Benito Ramírez,ESP,166,0,0,,22
Benjamin André,FRA,3011,3,3,,26
Benjamin Bourigeaud,FRA,3102,10,7,,23
Benjamin Corgnet,FRA,1376,0,0,,30
Benjamin Henrichs,GER,1268,0,0,,20
Benjamin Hübner,GER,2315,3,3,,28
Benjamin Jeannot,FRA,1407,4,4,,25
Benjamin Lecomte,FRA,3420,0,0,,26
Benjamin Mendy,FRA,363,0,0,,23
Benjamin Nivet,FRA,1369,2,2,,40
Benjamin Pavard,FRA,3060,1,1,,21
Benjamin Stambouli,FRA,2197,0,0,,26
Benno Schmitz,GER,82,0,0,,22
Benoît Assou-Ekotto,CMR,1051,0,0,,33
Benoît Costil,FRA,3240,0,0,,30
Beram Kayal,ISR,745,0,0,,29
Berat Djimsiti,ALB,2700,0,0,,24
Berkay Özcan,TUR,1002,1,1,,19
Bernardo,BRA,1350,1,1,,22
Bernardo Espinosa,COL,2868,0,0,,28
Bernardo Silva,POR,1533,6,6,,22
Bernd Leno,GER,2970,0,0,,25
Bertrand Traoré,BFA,2284,13,13,,21
Beñat Etxebarria,ESP,1120,0,0,,30
Billy Ketkeophomphone,LAO,437,0,0,,27
Bingourou Kamara,SEN,1691,0,0,,20
Birk Risa,NOR,81,0,0,,19
Blaise Matuidi,FRA,2382,3,3,,30
Blerim Džemaili,SUI,1193,1,1,,31
Boaz Myhill,WAL,90,0,0,,34
Bobby Wood,USA,1609,2,1,,24
Bojan Krkić,ESP,512,0,0,,26
Bongani Zungu,RSA,2084,1,1,,24
Borja Bastón,ESP,985,2,1,,24
Borja García,ESP,2798,2,2,,26
Borja Herrera,ESP,241,0,0,,24
Borja Lasso,ESP,53,0,0,,23
Borja Mayoral,ESP,345,3,3,,20
Borja Valero,ESP,2564,2,2,,32
Borja Valle,ESP,486,3,3,,25
Boubacar Kamara,FRA,455,0,0,,17
Boubakary Soumaré,FRA,511,0,0,,18
Boukary Dramé,SEN,95,0,0,,32
Bouna Sarr,SEN,1789,0,0,,25
Boštjan Cesar,SVN,550,0,0,,35
Brahim Díaz,MAR,55,0,0,,17
Brais Méndez,ESP,948,1,1,,20
Bram Nuytinck,NED,2362,1,1,,27
Brandon,ESP,357,1,1,,22
Branimir Hrgota,SWE,196,0,0,,24
Breel Embolo,SUI,919,3,3,,20
Brian Fernández,ARG,128,0,0,,22
Brice Samba,FRA,316,0,0,,23
Bright Gyamfi,GHA,326,0,0,,21
Brighton Labeau,MTQ,23,0,0,,21
Brown Ideye,NGA,733,1,1,,28
Bruma,POR,1611,4,4,,22
Bruno,ESP,2016,0,0,,36
Bruno Gama,POR,115,0,0,,29
Bruno Gaspar,ANG,781,0,0,,24
Bruno González,ESP,1540,0,0,,27
Bruno Martella,ITA,2616,1,1,,24
Bruno Martins Indi,NED,1243,0,0,,25
Bruno Peres,BRA,1155,0,0,,27
Bruno Petković,CRO,1251,0,0,,22
Bruno Zuculini,ARG,1216,2,2,,24
Bryan Cristante,ITA,2824,9,9,,22
Bryan Dabo,BFA,1875,3,2,,25
Bryan Mbeumo,CMR,64,0,0,,17
Bryan Pelé,FRA,1615,2,2,,25
Burgui,ESP,1034,1,1,,23
Cafú,POR,680,0,0,,24
Caiuby,BRA,2855,5,5,,29
Cala,ESP,1800,2,2,,27
Caleb Stanko,USA,191,0,0,,24
Callum Hudson-Odoi,ENG,29,0,0,,16
Callum Wilson,ENG,1981,8,8,,25
Calum Chambers,ENG,866,0,0,,22
Carles Gil,ESP,476,0,0,,24
Carles Planas,ESP,192,0,0,,26
Carlo Pinsoglio,ITA,28,0,0,,27
Carlos Bacca,COL,2497,15,14,,30
Carlos Calderón,ESP,4,0,0,,22
Carlos Fernández,ESP,137,1,1,,21
Carlos Isaac,ESP,63,0,0,,19
Carlos Martínez,ESP,3,0,0,,31
Carlos Salcedo,MEX,1607,0,0,,23
Carlos Soler,ESP,2365,1,1,,20
Carlos Sánchez,COL,1490,1,1,,31
Carlos Vela,MEX,382,1,1,,28
Carlos Vigaray,ESP,895,0,0,,22
Casemiro,BRA,2595,5,5,,25
Casimir Ninga,CHA,1283,1,1,,24
Cedric Teuchert,GER,34,0,0,,20
Celso Borges,CRC,2300,3,3,,29
Cengiz Ünder,TUR,1249,7,7,,20
Cenk Tosun,TUR,986,5,5,,26
Cesar Falletti,URU,321,1,1,,24
Cesc Fàbregas,ESP,2306,2,2,,30
Chadrac Akolo,COD,1102,5,5,,22
Chancel Mbemba,COD,672,0,0,,22
Chaouki Ben Saada,TUN,342,0,0,,33
Charles,BRA,1582,8,7,,33
Charles Aránguiz,CHI,2302,1,1,,28
Charles Traore,MLI,2998,0,0,,25
Charlie Adam,SCO,411,0,0,,31
Charlie Austin,ENG,1037,7,6,,28
Charlie Daniels,ENG,3002,1,1,,30
Charlie Taylor,ENG,950,0,0,,23
Charlison Benschop,CUW,184,1,1,,27
Charly Charrier,FRA,105,0,0,,31
Charly Musonda Jr.,BEL,37,0,0,,20
Cheick Diabaté,MLI,664,8,8,,29
Cheick Doukouré,CIV,1022,1,1,,24
Cheick Keita,MLI,127,0,0,,21
Cheikh M'Bengue,SEN,489,0,0,,29
Cheikhou Kouyaté,SEN,2799,2,2,,27
Chema,ESP,2017,1,1,,25
Chidozie Awaziem,NGA,1512,1,1,,20
Chory Castro,URU,2061,4,3,,32
Chris Brunt,NIR,1920,0,0,,32
Chris Führich,GER,95,0,0,,19
Chris Löwe,GER,1588,0,0,,28
Chris Philipps,LUX,849,0,0,,23
Chris Smalling,ENG,2536,4,4,,27
Chris Wood,NZL,1624,10,10,,25
Christian Atsu,GHA,1784,2,2,,25
Christian Benteke,BEL,2240,3,2,,26
Christian Clemens,GER,646,1,1,,25
Christian Eriksen,DEN,3218,10,10,,25
Christian Fuchs,AUT,1921,0,0,,31
Christian Gentner,GER,2412,2,2,,31
Christian Günter,GER,3060,1,1,,24
Christian Kabasele,BEL,2330,2,2,,26
Christian Kouakou,CIV,847,1,1,,26
Christian Maggio,ITA,641,0,0,,35
Christian Mathenia,GER,2160,0,0,,25
Christian Puggioni,ITA,1989,0,0,,36
Christian Pulisic,USA,2302,4,4,,18
Christian Rutjens,,1,0,0,,
Christian Santos,VEN,436,2,2,,29
Christoph Janker,GER,78,0,0,,32
Christoph Kramer,GER,2151,3,3,,26
Christophe Hérelle,MTQ,2957,0,0,,24
Christophe Jallet,FRA,1174,0,0,,33
Christophe Kerbrat,FRA,3320,1,1,,30
Christopher Jullien,FRA,2605,2,2,,24
Christopher Martins,LUX,69,0,0,,20
Christopher Nkunku,FRA,631,4,4,,19
Christopher Schindler,GER,3265,0,0,,27
Chuca,ESP,88,0,0,,20
Ciaran Clark,IRL,1746,2,2,,27
Cifu,ESP,108,0,0,,26
Ciprian Tătărușanu,ROU,3330,0,0,,31
Ciro Immobile,ITA,2683,29,22,,27
Claud Adjapong,ITA,1220,0,0,,19
Claudio Beauvue,GLP,1672,2,2,,29
Claudio Bravo,CHI,226,0,0,,34
Claudio Marchisio,ITA,817,0,0,,31
Claudio Pizarro,PER,579,1,1,,38
Claudio Yacob,ARG,903,0,0,,30
Clinton N'Jie,CMR,874,7,7,,23
Clément Grenier,FRA,1213,5,3,,26
Clément Lenglet,FRA,3001,3,3,,22
Clément Michelin,FRA,275,0,0,,20
Coke,ESP,1385,3,3,,30
Collin Quaner,GER,1280,0,0,,26
Connor Goldson,ENG,200,0,0,,24
Connor Roberts,WAL,268,0,0,,21
Corentin Jean,FRA,1688,1,1,,22
Corentin Tolisso,FRA,1575,6,6,,22
Costel Pantilimon,ROU,540,0,0,,30
Craig Cathcart,NIR,523,0,0,,28
Craig Dawson,ENG,2510,2,2,,27
Cristhian Stuani,URU,2710,21,16,,30
Cristian Ansaldi,ARG,1872,1,1,,30
Cristian Dell'Orco,ITA,421,0,0,,23
Cristian Molinaro,ITA,1564,0,0,,34
Cristian Rivera,ESP,246,0,0,,20
Cristian Tello,ESP,1693,4,4,,25
Cristiano Biraghi,ITA,2980,1,1,,24
Cristiano Lombardi,ITA,1112,0,0,,21
Cristiano Ronaldo,POR,2285,26,23,,32
Cristián Zapata,COL,994,0,0,,30
Cuco Martina,CUW,1830,0,0,,27
Cyril Théréau,FRA,1292,7,3,,34
Cédric Bakambu,COD,1263,9,8,,26
Cédric Soares,POR,2794,0,0,,25
Cédric Varrault,FRA,883,1,1,,37
Cédric Yamberé,CTA,2829,3,3,,26
César Azpilicueta,ESP,3330,2,2,,27
Daichi Kamada,JPN,144,0,0,,20
Dalbert Henrique,BRA,531,0,0,,23
Dale Stephens,ENG,3240,0,0,,28
Daley Blind,NED,362,0,0,,27
Damien Da Silva,FRA,2836,4,4,,29
Damien Delaney,IRL,96,0,0,,36
Damir Ceter,COL,199,0,0,,19
Damián Suárez,URU,2877,1,1,,29
Dan Gosling,ENG,1947,2,2,,27
Dan-Axel Zagadou,FRA,657,1,1,,18
Dani Alves,BRA,2063,1,1,,34
Dani Carvajal,ESP,2222,0,0,,25
Dani Castellano,ESP,2025,0,0,,29
Dani Ceballos,ESP,401,2,2,,20
Dani García,ESP,2775,0,0,,27
Dani Giménez,ESP,308,0,0,,34
Dani Raba,ESP,1110,2,2,,21
Daniel Amartey,GHA,487,0,0,,22
Daniel Baier,GER,2538,0,0,,33
Daniel Bessa,ITA,1827,3,3,,24
Daniel Brosinski,GER,2500,1,0,,29
Daniel Caligiuri,ITA,2917,6,3,,29
Daniel Carriço,POR,460,0,0,,28
Daniel Congré,FRA,2635,1,1,,32
Daniel Didavi,GER,2237,9,9,,27
Daniel Ginczek,GER,1523,7,6,,26
Daniel Molina Orta,ESP,5,0,0,,21
Daniel Opare,GHA,1417,0,0,,26
Daniel Pacheco,ESP,175,0,0,,26
Daniel Parejo,ESP,3001,7,1,,28
Daniel Pavlović,BIH,848,0,0,,29
Daniel Sturridge,ENG,549,2,2,,27
Daniel Torres,COL,1217,0,0,,27
Daniel Wass,DEN,2932,4,4,,28
Daniele Baselli,ITA,2521,4,4,,25
Daniele Bonera,ITA,1190,0,0,,36
Daniele De Rossi,ITA,1829,1,1,,34
Daniele Dessena,ITA,573,0,0,,30
Daniele Rugani,ITA,1935,2,2,,23
Daniele Verde,ITA,1954,2,2,,21
Danijel Milićević,BIH,712,0,0,,31
Danijel Subašić,CRO,2939,0,0,,32
Danilo,BRA,1349,3,3,,26
Danilo Avelar,BRA,1727,1,1,,28
Danilo Cataldi,ITA,2282,1,1,,22
Danilo D'Ambrosio,ITA,2979,2,2,,28
Danilo Larangeira,BRA,2775,1,1,,33
Danny Blum,GER,29,1,1,,26
Danny Drinkwater,ENG,527,1,1,,27
Danny Ings,ENG,267,1,1,,25
Danny Latza,GER,2352,2,2,,27
Danny Rose,ENG,800,0,0,,27
Danny Simpson,ENG,2306,0,0,,30
Danny Welbeck,ENG,1194,5,5,,26
Danny Williams,USA,1124,0,0,,28
Danny da Costa,GER,1202,1,1,,24
Dante,BRA,2919,1,1,,33
Dario Dainelli,ITA,1507,0,0,,38
Darko Brašanac,SRB,1203,2,2,,25
Darko Lazović,SRB,1242,0,0,,26
Darren Fletcher,SCO,2219,1,1,,33
Daryl Janmaat,NED,1820,3,3,,28
Darío Poveda,ESP,2,0,0,,20
David Abraham,ARG,2302,0,0,,31
David Alaba,AUT,1551,2,2,,25
David Alba,ESP,61,0,0,,18
David Alcibiade,FRA,208,0,0,,25
David García,ESP,860,1,1,,35
David Juncà,ESP,901,0,0,,23
David Lombán,ESP,994,1,1,,30
David Luiz,BRA,840,1,1,,30
David López,ESP,3330,1,1,,27
David Ospina,COL,381,0,0,,28
David Silva,ESP,2430,9,9,,31
David Simón,ESP,721,0,0,,28
David Soria,ESP,1264,0,0,,24
David Timor,ESP,925,2,2,,27
David Zurutuza,ESP,2242,0,0,,31
David de Gea,ESP,3330,0,0,,26
Davide Astori,ITA,2250,1,1,,30
Davide Biondini,ITA,206,0,0,,34
Davide Biraschi,ITA,1796,0,0,,23
Davide Calabria,ITA,1564,1,1,,20
Davide Di Gennaro,ITA,11,0,0,,29
Davide Faraoni,ITA,1754,2,2,,25
Davide Santon,ITA,836,0,0,,26
Davide Zappacosta,ITA,1194,1,1,,25
Davie Selke,GER,1886,10,9,,22
Davinson Sánchez,COL,2534,0,0,,21
Davy Klaassen,NED,251,0,0,,24
Davy Pröpper,NED,3119,0,0,,25
Dawid Kownacki,POL,823,5,5,,20
Dayot Upamecano,FRA,2268,3,3,,18
DeAndre Yedlin,USA,2845,0,0,,24
Dean Whitehead,ENG,71,0,0,,35
Declan Rice,ENG,1430,0,0,,18
Deian Boldor,ROU,90,0,0,,22
Dejan Lovren,CRO,2127,2,2,,28
Dele Alli,ENG,2958,9,9,,21
Demarai Gray,JAM,1697,3,3,,21
Denis Cheryshev,RUS,926,2,2,,26
Denis Suárez,ESP,595,2,2,,23
Denis Zakaria,SUI,2296,2,2,,20
Dennis Aogo,GER,1954,0,0,,30
Dennis Diekmeier,GER,1868,0,0,,27
Dennis Geiger,GER,1588,2,2,,19
Dennis Praet,BEL,2657,1,1,,23
Diafra Sakho,SEN,1084,4,4,,27
Diego Benaglio,SUI,225,0,0,,33
Diego Carlos,BRA,2291,1,1,,24
Diego Contento,GER,108,0,0,,27
Diego Costa,ESP,1041,3,3,,28
Diego Demme,GER,2284,0,0,,25
Diego Falcinelli,ITA,1754,2,2,,26
Diego Farias,BRA,1609,1,1,,27
Diego Godín,URU,2554,0,0,,31
Diego González,ESP,1429,1,1,,22
Diego Laxalt,URU,2806,3,3,,24
Diego Llorente,ESP,2326,3,3,,23
Diego López,ESP,853,0,0,,35
Diego Perotti,ARG,1609,5,3,,29
Diego Rico,ESP,2228,2,2,,24
Diego Rolán,URU,1946,6,6,,24
Dimitri Foulquier,FRA,1239,0,0,,24
Dimitri Liénard,FRA,2602,5,4,,29
Dimitri Payet,FRA,2347,6,4,,30
Dimitris Siovas,GRE,2057,1,1,,28
Divock Origi,BEL,1977,6,6,,22
Djené,TOG,3239,1,1,,25
Djibril Sidibé,FRA,2153,2,2,,25
Dodi Lukebakio,BEL,16,0,0,,19
Domenico Berardi,ITA,2296,4,2,,22
Domenico Maietta,ITA,468,0,0,,34
Dominic Calvert-Lewin,ENG,1882,4,4,,20
Dominic Maroh,SVN,914,0,0,,30
Dominic Solanke,ENG,596,1,1,,19
Dominik Kaiser,GER,277,0,0,,28
Dominik Kohr,GER,1664,1,1,,23
Dominique Heintz,GER,2790,1,1,,23
Douglas Costa,BRA,1795,4,4,,26
