player,nation,minutes,goals,npg,npxg,age
Caleb Okoli,ITA,2914,0,0,,22
Callum Hudson-Odoi,ENG,1854,8,8,,22
Callum Wilson,ENG,991,9,7,,31
Calum Chambers,ENG,152,0,0,,28
Calvin Bassey,NGA,2303,1,1,,23
Cameron Archer,ENG,1838,4,4,,22
Caoimhín Kelleher,IRL,900,0,0,,24
Carl Starfelt,SWE,2216,1,1,,28
Carles Aleñá,ESP,1020,1,1,,25
Carles Pérez,ESP,772,1,1,,25
Carlo Pinsoglio,ITA,45,0,0,,33
Carlos Alcaraz,ARG,380,0,0,,20
Carlos Augusto,BRA,1725,0,0,,24
Carlos Baleba,CMR,1386,0,0,,19
Carlos Benavídez,URU,1136,3,3,,25
Carlos Dominguez,ESP,1584,0,0,,22
Carlos Dotor,ESP,708,0,0,,22
Carlos Fernández,ESP,408,2,1,,27
Carlos Neva,ESP,3146,0,0,,27
Carlos Romero,ESP,262,0,0,,21
Carlos Soler,ESP,1090,2,2,,26
Carlos Vicente,ESP,1114,2,2,,24
Carlos Vinícius,BRA,315,2,2,,28
Carlton Morris,ENG,2862,11,6,,27
Carmona,ESP,1313,1,1,,21
Carney Chukwuemeka,ENG,227,1,1,,19
Casemiro,BRA,1982,1,1,,31
Castello Lukeba,FRA,2191,1,1,,20
Catena,ESP,2534,1,1,,28
Cauley Woodrow,ENG,427,1,1,,28
Cedric Zesiger,SUI,1634,0,0,,25
Cenk Özkacar,TUR,1598,0,0,,22
Cesare Casadei,ITA,79,0,0,,20
Chadi Riad,MAR,2164,0,0,,20
Chaim El Djebali,TUN,12,0,0,,19
Chaka Traorè,CIV,20,1,1,,18
Chancel Mbemba,COD,2207,2,2,,28
Charles De Ketelaere,BEL,2026,10,9,,22
Charlie Taylor,ENG,2331,1,1,,29
Charlys,BRA,25,0,0,,19
Cheick Doucouré,MLI,919,0,0,,23
Cheick Konaté,MLI,1068,1,1,,19
Cheikh Tidiane Sabaly,SEN,1379,3,3,,24
Cheikhou Kouyaté,SEN,212,0,0,,33
Cher Ndour,ITA,28,0,0,,19
Chiedozie Ogbene,IRL,1995,4,4,,26
Chris Basham,ENG,321,0,0,,35
Chris Bedia,CIV,145,1,1,,27
Chris Führich,GER,2567,8,8,,25
Chris Mepham,WAL,617,0,0,,25
Chris Ramos,ESP,2612,5,5,,26
Chris Richards,USA,2094,1,1,,23
Chris Smalling,ENG,390,0,0,,33
Chris Wood,NZL,1812,14,14,,31
Chrislain Matsima,FRA,1478,1,1,,21
Christ Mbondi,FRA,2,0,0,,18
Christian Eriksen,DEN,1141,1,1,,31
Christian Groß,GER,797,0,0,,34
Christian Günter,GER,1060,1,1,,30
Christian Kabasele,BEL,861,1,1,,32
Christian Kouamé,CIV,1089,2,2,,25
Christian Kühlwetter,GER,8,0,0,,27
Christian Mawissa,FRA,1118,2,2,,18
Christian Nørgaard,DEN,2505,2,2,,29
Christian Pulisic,USA,2602,12,12,,24
Christoph Baumgartner,AUT,1158,5,5,,23
Christoph Klarer,AUT,2354,2,2,,23
Christoph Kramer,GER,249,0,0,,32
Christoph Zimmermann,GER,1220,0,0,,30
Christophe Hérelle,MTQ,1617,0,0,,30
Christopher Antwi-Adjei,GHA,1216,2,2,,29
Christopher Jullien,FRA,1233,1,1,,30
Christopher Lenz,GER,57,0,0,,28
Christopher Nkunku,FRA,443,3,3,,25
Christopher Operi,CIV,2445,3,3,,26
Christopher Trimmel,AUT,1646,0,0,,36
Christopher Wooh,CMR,1388,1,1,,21
Christos Mandas,GRE,721,0,0,,21
Christos Papadopoulos,GRE,4,0,0,,18
Chukwubuikem Ikwuemesi,NGA,1061,1,1,,21
Chumi,ESP,2434,0,0,,24
Ciro Immobile,ITA,1652,7,3,,33
Claudio Bravo,CHI,630,0,0,,40
Clemens Riedel,GER,755,0,0,,20
Clinton Mata,ANG,2220,0,0,,30
Clément Lenglet,FRA,1153,0,0,,28
Cody Gakpo,NED,1649,8,8,,24
Cole Palmer,ENG,2618,22,13,,21
Connor Roberts,WAL,823,0,0,,27
Conor Bradley,NIR,753,1,1,,20
Conor Gallagher,ENG,3128,5,5,,23
Copete,ESP,1333,1,1,,23
Corentin Tolisso,FRA,1741,3,2,,28
Craig Dawson,ENG,2209,1,1,,33
Crespo,POR,527,0,0,,26
Cristhian Mosquera,ESP,3075,0,0,,19
Cristhian Stuani,URU,804,9,9,,36
Cristian,ESP,57,0,0,,25
Cristian Cásseres Jr.,VEN,1946,1,1,,23
Cristian Gamboa,CRC,1187,0,0,,33
Cristian Herrera,ESP,166,1,1,,32
Cristian Romero,ARG,2790,5,5,,25
Cristian Volpato,ITA,645,1,1,,19
Cristiano Biraghi,ITA,2356,2,2,,30
Curtis Jones,ENG,1167,1,1,,22
Cyle Larin,CAN,1823,3,3,,28
Cyril Ngonge,BEL,1746,7,7,,23
Cédric Bakambu,COD,194,0,0,,32
Cédric Soares,POR,62,0,0,,31
César Azpilicueta,ESP,1423,0,0,,33
César Montes,MEX,1788,0,0,,26
César Tárrega,ESP,8,0,0,,21
Daichi Kamada,JPN,1544,2,2,,26
Daiki Hashioka,JPN,595,0,0,,24
Daler Kuzyaev,RUS,2090,2,2,,30
Daley Blind,NED,2972,1,1,,33
Daley Sinkgraven,NED,374,0,0,,28
Damion Downs,USA,181,2,2,,19
Damián Rodríguez,ESP,258,0,0,,20
Damián Suárez,URU,1299,0,0,,35
Dan Burn,ENG,2726,2,2,,31
Dan Ndoye,SUI,1771,1,1,,22
Dan-Axel Zagadou,FRA,1453,1,1,,24
Dane Scarlett,ENG,22,0,0,,19
Dango Ouattara,BFA,1229,1,1,,21
Dani Carvajal,ESP,2171,4,4,,31
Dani Ceballos,ESP,598,0,0,,26
Dani Cárdenas,ESP,90,0,0,,26
Dani García,ESP,745,1,1,,33
Dani Olmo,ESP,1449,4,4,,25
Dani Rodríguez,ESP,2615,2,2,,35
Daniel Bandeira,POR,446,0,0,,23
Daniel Batz,GER,360,0,0,,32
Daniel Bentley,ENG,383,0,0,,30
Daniel Boloca,ROU,2022,1,1,,24
Daniel Fuzato,BRA,7,0,0,,26
Daniel Gore,ENG,1,0,0,,18
Daniel Jebbison,CAN,21,0,0,,19
Daniel Maldini,ITA,596,4,4,,21
Daniel Muñoz,COL,1439,0,0,,27
Daniel Parejo,ESP,2580,3,0,,34
Daniel Peretz,ISR,17,0,0,,23
Daniel Vivian,ESP,2878,0,0,,24
Daniele Rugani,ITA,1187,2,2,,29
Daniele Sommariva,ITA,5,0,0,,26
Danilho Doekhi,NED,2160,2,2,,25
Danilo,BRA,4244,3,3,,22
Danilo Cataldi,ITA,1361,1,1,,28
Danilo D'Ambrosio,ITA,1536,0,0,,34
Danilo Pereira,POR,1995,0,0,,31
Danilo Soares,BRA,351,0,0,,31
Danley Jean-Jacques,HAI,2682,0,0,,23
Danny Ings,ENG,404,1,1,,31
Danny Welbeck,ENG,1693,5,5,,32
Danny da Costa,GER,830,0,0,,30
Dante,BRA,2843,1,1,,39
Dany Mota,POR,2049,4,4,,25
Daouda Traoré,FRA,16,0,0,,17
Dara O'Shea,IRL,2892,3,3,,24
Darko Brašanac,SRB,48,0,0,,31
Darko Lazović,SRB,1928,3,2,,32
Darlin Yongwa,CMR,1159,1,1,,22
Darwin Machís,VEN,785,4,3,,30
Darwin Núñez,URU,2047,11,11,,24
David Akpan Ankeye,NGA,57,0,0,,21
David Alaba,AUT,1154,0,0,,31
David Brooks,WAL,282,1,1,,26
David Costa,POR,1494,4,4,,22
David Datro Fofana,CIV,1561,5,5,,20
David García,ESP,2334,0,0,,29
David Gil,ESP,372,0,0,,29
David Jurásek,CZE,496,0,0,,22
David López,ESP,1965,3,3,,33
David Mamutovic,GER,11,0,0,,22
David Okereke,NGA,252,0,0,,25
David Ozoh,ENG,156,0,0,,18
David Raum,GER,2739,2,2,,25
David Raya,ESP,2880,0,0,,27
David Soria,ESP,3413,0,0,,30
David Zima,CZE,91,0,0,,22
Davide Bartesaghi,ITA,79,0,0,,17
Davide Bettella,ITA,3,0,0,,23
Davide Biraschi,ITA,90,1,1,,29
Davide Calabria,ITA,2185,1,1,,26
Davide Faraoni,ITA,994,0,0,,31
Davide Frattesi,ITA,955,6,6,,23
Davide Zappacosta,ITA,1867,2,2,,31
Davie Selke,GER,1265,6,6,,28
Davinson Sánchez,COL,77,0,0,,27
Davy Klaassen,NED,206,0,0,,30
Dawid Kownacki,POL,380,0,0,,26
Dayot Upamecano,FRA,1762,1,1,,24
Dean Henderson,ENG,1620,0,0,,26
Dean Huijsen,ESP,522,2,2,,18
Declan Rice,ENG,3225,7,7,,24
Deiver Machado,COL,1124,4,4,,29
Deivid Washington,BRA,13,0,0,,18
Dejan Kulusevski,SWE,2762,8,8,,23
Dejan Ljubicic,AUT,2048,0,0,,25
Dejan Lovren,CRO,718,0,0,,34
Demba Seck,SEN,723,0,0,,22
Dembo Sylla,GUI,45,0,0,,20
Denis Genreau,AUS,464,0,0,,24
Denis Huseinbasic,BIH,1627,0,0,,22
Denis Petrić,SRB,24,0,0,,35
Denis Suárez,ESP,133,0,0,,29
Denis Thomalla,GER,446,0,0,,30
Denis Zakaria,SUI,2137,4,4,,26
Deniz Undav,GER,2089,18,18,,27
Dennis Geiger,GER,64,0,0,,25
Denzel Dumfries,NED,1639,4,4,,27
Destiny Udogie,ITA,2391,2,2,,20
Diadie Samassékou,MLI,93,0,0,,27
Didier Lamkel Zé,CMR,550,1,1,,26
Diego Carlos,BRA,1816,0,0,,30
Diego Coppola,ITA,1634,2,2,,19
Diego Demme,GER,73,0,0,,31
